symbol	ensembl_gene_id	endpoint_role
AASDH	ENSG00000157426	regulator
ABHD13	ENSG00000139826	regulator
ACAD11	ENSG00000240303	regulator
ACTR2	ENSG00000138071	regulator
ACTR5	ENSG00000101442	regulator
ACTR8	ENSG00000113812	regulator
ADAM19	ENSG00000135074	regulator
ADAT2	ENSG00000189007	regulator
ADCY4	ENSG00000129467	regulator
ADNP2	ENSG00000101544	regulator
AHR	ENSG00000106546	regulator
AIP	ENSG00000110711	regulator
AK3	ENSG00000147853	regulator
ALG6	ENSG00000088035	regulator
ALG8	ENSG00000159063	regulator
ALKBH2	ENSG00000189046	regulator
ANKRD49	ENSG00000168876	regulator
APEX1	ENSG00000100823	regulator
ARHGAP30	ENSG00000186517	regulator
ARID1A	ENSG00000117713	regulator
ARID2	ENSG00000189079	regulator
ARIH1	ENSG00000166233	regulator
ARL5B	ENSG00000165997	regulator
ARNT	ENSG00000143437	regulator
ARPC2	ENSG00000163466	regulator
ARPC3	ENSG00000111229	regulator
ATAD5	ENSG00000176208	regulator
ATF4	ENSG00000128272	regulator
ATF7IP2	ENSG00000166669	regulator
ATM	ENSG00000149311	regulator
ATP1B3	ENSG00000069849	regulator
ATP23	ENSG00000166896	regulator
ATP2A2	ENSG00000174437	regulator
ATP5F1A	ENSG00000152234	regulator
ATP5ME	ENSG00000169020	regulator
ATP5MF	ENSG00000241468	regulator
ATP5PO	ENSG00000241837	regulator
ATRX	ENSG00000085224	regulator
ATXN2L	ENSG00000168488	regulator
ATXN7L3	ENSG00000087152	regulator
B4GALNT3	ENSG00000139044	regulator
BATF	ENSG00000156127	regulator
BCL3	ENSG00000069399	regulator
BCS1L	ENSG00000074582	regulator
BHLHE40	ENSG00000134107	regulator
BLZF1	ENSG00000117475	regulator
BPTF	ENSG00000171634	regulator
BRAT1	ENSG00000106009	regulator
BRD1	ENSG00000100425	regulator
BRD8	ENSG00000112983	regulator
BRD9	ENSG00000028310	regulator
BRK1	ENSG00000254999	regulator
BRMS1	ENSG00000174744	regulator
BRPF1	ENSG00000156983	regulator
BTAF1	ENSG00000095564	regulator
C11orf54	ENSG00000182919	regulator
C11orf68	ENSG00000175573	regulator
C16orf87	ENSG00000155330	regulator
C1D	ENSG00000197223	regulator
CAMSAP1	ENSG00000130559	regulator
CAND1	ENSG00000111530	regulator
CAP1	ENSG00000131236	regulator
CARD11	ENSG00000198286	regulator
CARM1	ENSG00000142453	regulator
CARMIL2	ENSG00000159753	regulator
CASC3	ENSG00000108349	regulator
CASK	ENSG00000147044	regulator
CBFB	ENSG00000067955	regulator
CBLL1	ENSG00000105879	regulator
CBX3	ENSG00000122565	regulator
CCDC22	ENSG00000101997	regulator
CCDC6	ENSG00000108091	regulator
CCDC93	ENSG00000125633	regulator
CCNA2	ENSG00000145386	regulator
CCNC	ENSG00000112237	regulator
CCNF	ENSG00000162063	regulator
CCNK	ENSG00000090061	regulator
CCNQ	ENSG00000262919	regulator
CCS	ENSG00000173992	regulator
CD2BP2	ENSG00000169217	regulator
CDCA3	ENSG00000111665	regulator
CDK13	ENSG00000065883	regulator
CDK5RAP3	ENSG00000108465	regulator
CDKN2AIP	ENSG00000168564	regulator
CEP43	ENSG00000213066	regulator
CFAP20	ENSG00000070761	regulator
CHD4	ENSG00000111642	regulator
CHD7	ENSG00000171316	regulator
CHORDC1	ENSG00000110172	regulator
CHTF18	ENSG00000127586	regulator
CLASRP	ENSG00000104859	regulator
CLCC1	ENSG00000121940	regulator
CMTM7	ENSG00000153551	regulator
CNBP	ENSG00000169714	regulator
CNOT11	ENSG00000158435	regulator
CNOT4	ENSG00000080802	regulator
COA3	ENSG00000183978	regulator
COMMD10	ENSG00000145781	regulator
COMMD8	ENSG00000169019	regulator
COPRS	ENSG00000172301	regulator
COPS8	ENSG00000198612	regulator
COQ3	ENSG00000132423	regulator
COX4I1	ENSG00000131143	regulator
COX6C	ENSG00000164919	regulator
CPSF6	ENSG00000111605	regulator
CREB1	ENSG00000118260	regulator
CREBBP	ENSG00000005339	regulator
CRLS1	ENSG00000088766	regulator
CSDE1	ENSG00000009307	regulator
CSNK2A1	ENSG00000101266	regulator
CTDSPL2	ENSG00000137770	regulator
CUL3	ENSG00000036257	regulator
CXXC1	ENSG00000154832	regulator
CYB5R4	ENSG00000065615	regulator
CYC1	ENSG00000179091	regulator
CYP4V2	ENSG00000145476	regulator
DCAF5	ENSG00000139990	regulator
DCAKD	ENSG00000172992	regulator
DCP2	ENSG00000172795	regulator
DDA1	ENSG00000130311	regulator
DDRGK1	ENSG00000198171	regulator
DDX17	ENSG00000100201	regulator
DDX6	ENSG00000110367	regulator
DEF8	ENSG00000140995	regulator
DEK	ENSG00000124795	regulator
DENR	ENSG00000139726	regulator
DHPS	ENSG00000095059	regulator
DHX36	ENSG00000174953	regulator
DHX9	ENSG00000135829	regulator
DNAJB11	ENSG00000090520	regulator
DNAJB9	ENSG00000128590	regulator
DNAJC24	ENSG00000170946	regulator
DNAJC3	ENSG00000102580	regulator
DNAJC8	ENSG00000126698	regulator
DNTTIP1	ENSG00000101457	regulator
DOCK2	ENSG00000134516	regulator
DOHH	ENSG00000129932	regulator
DOLPP1	ENSG00000167130	regulator
DOP1A	ENSG00000083097	regulator
DOP1B	ENSG00000142197	regulator
DOT1L	ENSG00000104885	regulator
DPH1	ENSG00000108963	regulator
DPH2	ENSG00000132768	regulator
DPH5	ENSG00000117543	regulator
DR1	ENSG00000117505	regulator
DRAP1	ENSG00000175550	regulator
E2F1	ENSG00000101412	regulator
ECHS1	ENSG00000127884	regulator
EDC3	ENSG00000179151	regulator
EHMT1	ENSG00000181090	regulator
EHMT2	ENSG00000204371	regulator
EID2	ENSG00000176396	regulator
EIF1	ENSG00000173812	regulator
EIF3H	ENSG00000147677	regulator
EIF3J	ENSG00000104131	regulator
EIF3K	ENSG00000178982	regulator
EIF3L	ENSG00000100129	regulator
EIF4A1	ENSG00000161960	regulator
EIF4B	ENSG00000063046	regulator
EIF4G2	ENSG00000110321	regulator
ELAVL1	ENSG00000066044	regulator
ELOB	ENSG00000103363	regulator
ELOF1	ENSG00000130165	regulator
ELP1	ENSG00000070061	regulator
ELP2	ENSG00000134759	regulator
ELP3	ENSG00000134014	regulator
ELP4	ENSG00000109911	regulator
ELP5	ENSG00000170291	regulator
EMC4	ENSG00000128463	regulator
EML2	ENSG00000125746	regulator
EP300	ENSG00000100393	regulator
EPC1	ENSG00000120616	regulator
ERCC1	ENSG00000012061	regulator
ERCC4	ENSG00000175595	regulator
ERCC6L	ENSG00000186871	regulator
ERGIC3	ENSG00000125991	regulator
EWSR1	ENSG00000182944	regulator
EXOC1	ENSG00000090989	regulator
EXOC7	ENSG00000182473	regulator
EZH2	ENSG00000106462	regulator
FAF2	ENSG00000113194	regulator
FAM98B	ENSG00000171262	regulator
FANCB	ENSG00000181544	regulator
FANCF	ENSG00000183161	regulator
FBXL15	ENSG00000107872	regulator
FBXL3	ENSG00000005812	regulator
FBXO32	ENSG00000156804	regulator
FBXO42	ENSG00000037637	regulator
FDX1	ENSG00000137714	regulator
FGFR1OP2	ENSG00000111790	regulator
FIGNL1	ENSG00000132436	regulator
FLAD1	ENSG00000160688	regulator
FLI1	ENSG00000151702	regulator
FNBP4	ENSG00000109920	regulator
FOXK1	ENSG00000164916	regulator
FOXN2	ENSG00000170802	regulator
FOXO1	ENSG00000150907	regulator
FUBP1	ENSG00000162613	regulator
GABPB1	ENSG00000104064	regulator
GALNT6	ENSG00000139629	regulator
GATA3	ENSG00000107485	regulator
GATAD1	ENSG00000157259	regulator
GCN1	ENSG00000089154	regulator
GDAP2	ENSG00000196505	regulator
GGA3	ENSG00000125447	regulator
GIGYF2	ENSG00000204120	regulator
GJC1	ENSG00000182963	regulator
GLIPR2	ENSG00000122694	regulator
GMEB1	ENSG00000162419	regulator
GNAZ	ENSG00000128266	regulator
GPALPP1	ENSG00000133114	regulator
GPATCH8	ENSG00000186566	regulator
GPI	ENSG00000105220	regulator
GPR137	ENSG00000173264	regulator
GPS2	ENSG00000132522	regulator
GSS	ENSG00000100983	regulator
GSTCD	ENSG00000138780	regulator
GYPC	ENSG00000136732	regulator
H2AZ1	ENSG00000164032	regulator
HAPSTR1	ENSG00000182831	regulator
HCCS	ENSG00000004961	regulator
HDAC1	ENSG00000116478	regulator
HDAC3	ENSG00000171720	regulator
HDAC7	ENSG00000061273	regulator
HEXIM1	ENSG00000186834	regulator
HMBS	ENSG00000256269	regulator
HMGN5	ENSG00000198157	regulator
HNRNPA2B1	ENSG00000122566	regulator
HNRNPD	ENSG00000138668	regulator
HOXB2	ENSG00000173917	regulator
HPS1	ENSG00000107521	regulator
HSD17B10	ENSG00000072506	regulator
HSDL2	ENSG00000119471	regulator
ICOS	ENSG00000163600	regulator
ID2	ENSG00000115738	regulator
IL12RB2	ENSG00000081985	regulator
IMMP2L	ENSG00000184903	regulator
INO80	ENSG00000128908	regulator
INO80B	ENSG00000115274	regulator
INO80C	ENSG00000153391	regulator
INSR	ENSG00000171105	regulator
INTS10	ENSG00000104613	regulator
INTS12	ENSG00000138785	regulator
INTS13	ENSG00000064102	regulator
INTS14	ENSG00000138614	regulator
INTS6	ENSG00000102786	regulator
IPO9	ENSG00000198700	regulator
IRF1	ENSG00000125347	regulator
IRF2	ENSG00000168310	regulator
IRF2BP1	ENSG00000170604	regulator
IRF9	ENSG00000213928	regulator
IST1	ENSG00000182149	regulator
ITGB2	ENSG00000160255	regulator
IWS1	ENSG00000163166	regulator
JOSD2	ENSG00000161677	regulator
KAT6A	ENSG00000083168	regulator
KAT7	ENSG00000136504	regulator
KATNIP	ENSG00000047578	regulator
KDM1A	ENSG00000004487	regulator
KDM2A	ENSG00000173120	regulator
KEAP1	ENSG00000079999	regulator
KHDRBS1	ENSG00000121774	regulator
KIF20A	ENSG00000112984	regulator
KIFAP3	ENSG00000075945	regulator
KMT2C	ENSG00000055609	regulator
KMT2E	ENSG00000005483	regulator
KMT5B	ENSG00000110066	regulator
KPNA1	ENSG00000114030	regulator
KTI12	ENSG00000198841	regulator
L2HGDH	ENSG00000087299	regulator
L3MBTL2	ENSG00000100395	regulator
LAMTOR2	ENSG00000116586	regulator
LAMTOR3	ENSG00000109270	regulator
LAT2	ENSG00000086730	regulator
LCK	ENSG00000182866	regulator
LEO1	ENSG00000166477	regulator
LIG1	ENSG00000105486	regulator
LRPPRC	ENSG00000138095	regulator
LSM12	ENSG00000161654	regulator
LTB4R	ENSG00000213903	regulator
LUC7L3	ENSG00000108848	regulator
LZTS1	ENSG00000061337	regulator
MAPKAP1	ENSG00000119487	regulator
MAPRE3	ENSG00000084764	regulator
MAU2	ENSG00000129933	regulator
MAX	ENSG00000125952	regulator
MBD2	ENSG00000134046	regulator
MBD3	ENSG00000071655	regulator
MBTPS1	ENSG00000140943	regulator
MCAT	ENSG00000100294	regulator
MCTS1	ENSG00000232119	regulator
MDM4	ENSG00000198625	regulator
MEAF6	ENSG00000163875	regulator
MED1	ENSG00000125686	regulator
MED12	ENSG00000184634	regulator
MED14	ENSG00000180182	regulator
MED15	ENSG00000099917	regulator
MED19	ENSG00000156603	regulator
MED23	ENSG00000112282	regulator
MED24	ENSG00000008838	regulator
MEN1	ENSG00000133895	regulator
METAP2	ENSG00000111142	regulator
METTL1	ENSG00000037897	regulator
MFHAS1	ENSG00000147324	regulator
MGA	ENSG00000174197	regulator
MIA2	ENSG00000150527	regulator
MICOS10	ENSG00000173436	regulator
MIOS	ENSG00000164654	regulator
MIPEP	ENSG00000027001	regulator
MLST8	ENSG00000167965	regulator
MLYCD	ENSG00000103150	regulator
MMAB	ENSG00000139428	regulator
MORC2	ENSG00000133422	regulator
MOSPD2	ENSG00000130150	regulator
MOV10	ENSG00000155363	regulator
MPI	ENSG00000178802	regulator
MRC2	ENSG00000011028	regulator
MSL2	ENSG00000174579	regulator
MTA2	ENSG00000149480	regulator
MTMR10	ENSG00000166912	regulator
MYB	ENSG00000118513	regulator
MYO9A	ENSG00000066933	regulator
NAA20	ENSG00000173418	regulator
NAA30	ENSG00000139977	regulator
NAA40	ENSG00000110583	regulator
NCAPG2	ENSG00000146918	regulator
NCBP3	ENSG00000074356	regulator
NCKAP1L	ENSG00000123338	regulator
NCOR1	ENSG00000141027	regulator
NDUFA8	ENSG00000119421	regulator
NDUFB11	ENSG00000147123	regulator
NDUFS8	ENSG00000110717	regulator
NELFCD	ENSG00000101158	regulator
NFE2L1	ENSG00000082641	regulator
NFKB1	ENSG00000109320	regulator
NFKB2	ENSG00000077150	regulator
NFRKB	ENSG00000170322	regulator
NIPBL	ENSG00000164190	regulator
NKAPD1	ENSG00000150776	regulator
NPC2	ENSG00000119655	regulator
NR2C2	ENSG00000177463	regulator
NRAS	ENSG00000213281	regulator
NRBP1	ENSG00000115216	regulator
NSD1	ENSG00000165671	regulator
NUDCD1	ENSG00000120526	regulator
NUP188	ENSG00000095319	regulator
OTUB1	ENSG00000167770	regulator
OXA1L	ENSG00000155463	regulator
P4HB	ENSG00000185624	regulator
PAGR1	ENSG00000280789	regulator
PAIP1	ENSG00000172239	regulator
PAK2	ENSG00000180370	regulator
PAN3	ENSG00000152520	regulator
PARP14	ENSG00000173193	regulator
PARS2	ENSG00000162396	regulator
PAXIP1	ENSG00000157212	regulator
PCBP1	ENSG00000169564	regulator
PCBP2	ENSG00000197111	regulator
PCGF1	ENSG00000115289	regulator
PCNX3	ENSG00000197136	regulator
PCYT2	ENSG00000185813	regulator
PDCD2L	ENSG00000126249	regulator
PDCL	ENSG00000136940	regulator
PDIA6	ENSG00000143870	regulator
PDLIM2	ENSG00000120913	regulator
PDPK1	ENSG00000140992	regulator
PDSS2	ENSG00000164494	regulator
PELO	ENSG00000152684	regulator
PEX6	ENSG00000124587	regulator
PGK1	ENSG00000102144	regulator
PGS1	ENSG00000087157	regulator
PHF12	ENSG00000109118	regulator
PHF23	ENSG00000040633	regulator
PHF3	ENSG00000118482	regulator
PIGB	ENSG00000069943	regulator
PKM	ENSG00000067225	regulator
PKNOX1	ENSG00000160199	regulator
PMVK	ENSG00000163344	regulator
PNPT1	ENSG00000138035	regulator
POGLUT3	ENSG00000178202	regulator
POLDIP3	ENSG00000100227	regulator
PPDPF	ENSG00000125534	regulator
PPHLN1	ENSG00000134283	regulator
PPIH	ENSG00000171960	regulator
PPIL1	ENSG00000137168	regulator
PPM1D	ENSG00000170836	regulator
PPP1R11	ENSG00000204619	regulator
PPP1R15B	ENSG00000158615	regulator
PPP1R7	ENSG00000115685	regulator
PPP6C	ENSG00000119414	regulator
PPRC1	ENSG00000148840	regulator
PRKAR1A	ENSG00000108946	regulator
PRKRA	ENSG00000180228	regulator
PRPF38B	ENSG00000134186	regulator
PRPF39	ENSG00000185246	regulator
PRSS21	ENSG00000007038	regulator
PSIP1	ENSG00000164985	regulator
PSMB9	ENSG00000240065	regulator
PSMF1	ENSG00000125818	regulator
PTBP1	ENSG00000011304	regulator
PTEN	ENSG00000171862	regulator
PTPA	ENSG00000119383	regulator
PTPN1	ENSG00000196396	regulator
PTPN2	ENSG00000175354	regulator
PTPRC	ENSG00000081237	regulator
PUM1	ENSG00000134644	regulator
PXMP4	ENSG00000101417	regulator
QNG1	ENSG00000165118	regulator
R3HCC1L	ENSG00000166024	regulator
RAB11FIP1	ENSG00000156675	regulator
RAD50	ENSG00000113522	regulator
RANBP3	ENSG00000031823	regulator
RASA2	ENSG00000155903	regulator
RASAL3	ENSG00000105122	regulator
RASGRP1	ENSG00000172575	regulator
RB1CC1	ENSG00000023287	regulator
RBM10	ENSG00000182872	regulator
RBM12	ENSG00000244462	regulator
RBM27	ENSG00000091009	regulator
RBM33	ENSG00000184863	regulator
RBPJ	ENSG00000168214	regulator
RC3H1	ENSG00000135870	regulator
RCC1L	ENSG00000274523	regulator
RCOR1	ENSG00000089902	regulator
RFX1	ENSG00000132005	regulator
RHBDD3	ENSG00000100263	regulator
RHEB	ENSG00000106615	regulator
RHOF	ENSG00000139725	regulator
RICTOR	ENSG00000164327	regulator
RIPK1	ENSG00000137275	regulator
RNASEH1	ENSG00000171865	regulator
RNF8	ENSG00000112130	regulator
RO60	ENSG00000116747	regulator
RPRD1B	ENSG00000101413	regulator
RPRD2	ENSG00000163125	regulator
RPUSD1	ENSG00000007376	regulator
RRAGA	ENSG00000155876	regulator
RTRAF	ENSG00000087302	regulator
RXRB	ENSG00000204231	regulator
SAMD1	ENSG00000141858	regulator
SAP130	ENSG00000136715	regulator
SARS2	ENSG00000104835	regulator
SCAF4	ENSG00000156304	regulator
SCAF8	ENSG00000213079	regulator
SCYL3	ENSG00000000457	regulator
SEC14L2	ENSG00000100003	regulator
SEC63	ENSG00000025796	regulator
SEL1L	ENSG00000071537	regulator
SENP1	ENSG00000079387	regulator
SENP5	ENSG00000119231	regulator
SETD1B	ENSG00000139718	regulator
SETDB1	ENSG00000143379	regulator
SFXN1	ENSG00000164466	regulator
SGF29	ENSG00000176476	regulator
SH3GL1	ENSG00000141985	regulator
SHLD1	ENSG00000171984	regulator
SIK3	ENSG00000160584	regulator
SIN3B	ENSG00000127511	regulator
SINHCAF	ENSG00000139146	regulator
SKIC8	ENSG00000140395	regulator
SLC25A22	ENSG00000177542	regulator
SLC25A51	ENSG00000122696	regulator
SLC31A1	ENSG00000136868	regulator
SLC35B1	ENSG00000121073	regulator
SLC39A6	ENSG00000141424	regulator
SMAD4	ENSG00000141646	regulator
SMARCA5	ENSG00000153147	regulator
SMARCB1	ENSG00000099956	regulator
SMARCC1	ENSG00000173473	regulator
SMARCD1	ENSG00000066117	regulator
SMARCE1	ENSG00000073584	regulator
SMG1	ENSG00000157106	regulator
SMG7	ENSG00000116698	regulator
SMG8	ENSG00000167447	regulator
SMG9	ENSG00000105771	regulator
SNAP23	ENSG00000092531	regulator
SNUPN	ENSG00000169371	regulator
SOCS4	ENSG00000180008	regulator
SP1	ENSG00000185591	regulator
SP100	ENSG00000067066	regulator
SP2	ENSG00000167182	regulator
SRR	ENSG00000167720	regulator
SRSF10	ENSG00000188529	regulator
SRSF11	ENSG00000116754	regulator
SSR2	ENSG00000163479	regulator
STAG2	ENSG00000101972	regulator
STARD10	ENSG00000214530	regulator
STAT3	ENSG00000168610	regulator
STAT5B	ENSG00000173757	regulator
STIP1	ENSG00000168439	regulator
STK11	ENSG00000118046	regulator
STK40	ENSG00000196182	regulator
STRAP	ENSG00000023734	regulator
STX16	ENSG00000124222	regulator
STYXL1	ENSG00000127952	regulator
SUGT1	ENSG00000165416	regulator
SUPT20H	ENSG00000102710	regulator
SUPT7L	ENSG00000119760	regulator
TADA1	ENSG00000152382	regulator
TADA2B	ENSG00000173011	regulator
TAF11	ENSG00000064995	regulator
TAF13	ENSG00000197780	regulator
TAF6L	ENSG00000162227	regulator
TARBP2	ENSG00000139546	regulator
TARS2	ENSG00000143374	regulator
TASOR	ENSG00000163946	regulator
TBL1XR1	ENSG00000177565	regulator
TENT2	ENSG00000164329	regulator
TESPA1	ENSG00000135426	regulator
TET2	ENSG00000168769	regulator
TFAM	ENSG00000108064	regulator
TFAP4	ENSG00000090447	regulator
TFDP1	ENSG00000198176	regulator
TGDS	ENSG00000088451	regulator
THAP11	ENSG00000168286	regulator
THAP12	ENSG00000137492	regulator
THAP2	ENSG00000173451	regulator
THAP5	ENSG00000177683	regulator
THOC6	ENSG00000131652	regulator
THRA	ENSG00000126351	regulator
THRAP3	ENSG00000054118	regulator
TIAL1	ENSG00000151923	regulator
TIMM8B	ENSG00000150779	regulator
TIPARP	ENSG00000163659	regulator
TIPRL	ENSG00000143155	regulator
