term_index	library	term_id	term_name	source_term	universe_targets	member_targets_n	member_targets	observed_es	observed_nes	pooled_null_es_mean	pooled_observed_z	pooled_marginal_p	bh_q_within_library	pooled_library_maxT_p	pooled_global_maxT_p	bank_A_observed_nes	bank_A_marginal_p	bank_A_bh_q_within_library	bank_A_library_maxT_p	bank_A_global_maxT_p	bank_B_observed_nes	bank_B_marginal_p	bank_B_bh_q_within_library	bank_B_library_maxT_p	bank_B_global_maxT_p	nondegenerate_null	direction	statement_eligible	global_familywise_supported	global_familywise_stable	peak_target_rank	peak_score	peak_score_tie_size	n_leading_edge	leading_edge_targets	n_leading_edge_tie_expanded	leading_edge_targets_tie_expanded	zero_weight_observed	zero_weight_null_draws_A	zero_weight_null_draws_B	status
0	KEGG_Legacy_v2026.1	hsa00010	Glycolysis Gluconeogenesis	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	9554	30	PFKP|PKM|ALDH3A2|ENO1|PGM1|DLD|PCK2|PGK1|GPI|ENO3|ALDOC|ENO2|LDHB|AKR1A1|ACSS2|PDHA1|ALDH1B1|ALDH9A1|GALM|DLAT|PFKM|ACSS1|HK1|HK2|ALDH7A1|PDHB|PGM2|PGAM1|BPGM|ADH5	0.47156421213555355	1.7495274819778819	0.26953804212463078	1.8256632109258093	0.027548622568871556	0.22038898055097245	0.96280185990700462	1	1.7555196919125826	0.025397460253974602	0.22089791020897911	0.95460453954604541	1	1.7435760399538349	0.029797020297970205	0.21764780043734758	0.97110288971102887	1	True	high_burden	False	False	False	1025	1.5167149866338692	1	7	PGK1|PGAM1|GALM|PKM|PFKP|DLAT|ENO2	7	PGK1|PGAM1|GALM|PKM|PFKP|DLAT|ENO2	False	0	0	NOT_SUPPORTED
1	KEGG_Legacy_v2026.1	hsa00020	Citrate Cycle Tca Cycle	KEGG_CITRATE_CYCLE_TCA_CYCLE	9554	21	MDH1|IDH3G|DLD|FH|ACO2|PCK2|IDH3B|OGDH|SDHB|DLST|ACO1|ACLY|PDHA1|IDH1|MDH2|DLAT|SUCLG1|IDH3A|PDHB|SUCLG2|IDH2	0.32170720578837697	1.1113056135066111	0.28948581009436536	0.24200515157914801	0.42447877606119694	0.68569648440654885	1	1	1.1136170320004588	0.42055794420557946	0.67936283294747446	1	1	1.1090037702780056	0.42845715428457154	0.69212309538276939	1	1	True	high_burden	False	False	False	1453	1.0032297775019667	1	6	ACLY|DLAT|IDH3B|IDH1|MDH2|IDH3A	6	ACLY|DLAT|IDH3B|IDH1|MDH2|IDH3A	False	0	0	NOT_SUPPORTED
2	KEGG_Legacy_v2026.1	hsa00030	Pentose Phosphate Pathway	KEGG_PENTOSE_PHOSPHATE_PATHWAY	9554	16	DERA|H6PD|PFKP|PGM1|PRPS2|GPI|ALDOC|PGLS|PGD|PRPS1|PFKM|RPIA|G6PD|PGM2|RBKS|TALDO1	0.44789712746364274	1.6266549754909585	0.27534857373700777	1.2374345902156623	0.11409429528523574	0.35682660311428871	1	1	1.628596221514381	0.11068893110688931	0.34498772344987721	1	1	1.6247183517914114	0.11758824117588242	0.36746325367463256	1	1	True	high_burden	False	False	False	1076	1.4493846187471784	1	4	RBKS|PFKP|TALDO1|RPIA	4	RBKS|PFKP|TALDO1|RPIA	False	0	0	NOT_SUPPORTED
3	KEGG_Legacy_v2026.1	hsa00051	Fructose And Mannose Metabolism	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	9554	24	PHPT1|MTMR1|PFKP|AKR1B1|MTMR2|PMM1|GFUS|ALDOC|GMDS|PFKFB4|PFKFB2|KHK|MTMR6|SORD|PMM2|GMPPA|PFKM|HK1|FCSK|HK2|PFKFB3|GMPPB|MPI|FPGT	0.5120730618085193	1.7598827254370299	0.29096999158359071	1.7864484186057894	0.029848507574621271	0.22240627099079829	0.97420128993550326	1	1.759404629222723	0.030596940305969402	0.22677732226777325	0.97300269973002695	1	1.7603610815553254	0.029197080291970802	0.21764780043734758	0.97510248975102487	1	True	high_burden	False	False	False	1195	1.2968178334238227	1	7	MPI|PFKP|PFKFB3|MTMR1|MTMR6|FCSK|MTMR2	7	MPI|PFKP|PFKFB3|MTMR1|MTMR6|FCSK|MTMR2	False	0	0	NOT_SUPPORTED
4	KEGG_Legacy_v2026.1	hsa00052	Galactose Metabolism	KEGG_GALACTOSE_METABOLISM	9554	18	PFKP|PGM1|AKR1B1|B4GALT1|GLA|GALK1|GALE|B4GALT2|PFKM|HK1|GALK2|HK2|PGM2|UGP2|GLB1|GAA|GALT|GANC	0.30394869069510178	0.98696722074576038	0.30796229530848623	-0.027341275554484561	0.53102344882755859	0.7795540657749721	1	1	0.98952774878466421	0.52944705529447056	0.7753520300143899	1	1	0.98441990988518369	0.53264673532646734	0.78382422627302484	1	1	True	high_burden	False	False	False	1817	0.60200626878321528	1	5	PFKP|B4GALT2|GALT|HK2|GALK1	5	PFKP|B4GALT2|GALT|HK2|GALK1	False	0	0	NOT_SUPPORTED
5	KEGG_Legacy_v2026.1	hsa00071	Fatty Acid Metabolism	KEGG_FATTY_ACID_METABOLISM	9554	30	ACAA1|ACSL4|ALDH3A2|ACADVL|ACAT1|HADHA|ACOX3|GCDH|CPT1A|EHHADH|ACADM|ACAT2|ACADS|ACSL3|ECHS1|ALDH1B1|HADHB|HADH|ALDH9A1|ACSL1|CPT2|ACOX1|ACSL6|ALDH7A1|ACAA2|ECI1|ACADSB|ACSL5|ADH5|ECI2	0.014489710205795925	0.05271227583695523	0.27488303200215003	-2.2303501052568881	0.9862006899655017	0.98980050997450131	1	1	0.052847506598525697	0.98700129987001295	0.98960103989601034	1	1	0.052577735389240897	0.98540145985401462	0.99010098990101003	1	1	True	high_burden	False	False	False	9416	-1.3257537470196297	1	30	ACAT2|ACADM|ACSL1|EHHADH|ACOX3|ACADSB|ADH5|ACADVL|ALDH1B1|GCDH|ACADS|HADHA|ACSL5|ACSL4|ALDH9A1|ACOX1|ALDH7A1|CPT2|HADH|ECI2|CPT1A|ACSL3|ECI1|ACAA2|ACAT1|ECHS1|ACAA1|ALDH3A2|HADHB|ACSL6	30	ACAT2|ACADM|ACSL1|EHHADH|ACOX3|ACADSB|ADH5|ACADVL|ALDH1B1|GCDH|ACADS|HADHA|ACSL5|ACSL4|ALDH9A1|ACOX1|ALDH7A1|CPT2|HADH|ECI2|CPT1A|ACSL3|ECI1|ACAA2|ACAT1|ECHS1|ACAA1|ALDH3A2|HADHB|ACSL6	False	0	0	NOT_SUPPORTED
6	KEGG_Legacy_v2026.1	hsa00100	Steroid Biosynthesis	KEGG_STEROID_BIOSYNTHESIS	9554	13	CYP51A1|MSMO1|SOAT1|FDFT1|SQLE|LIPA|SC5D|DHCR24|EBP|NSDHL|TM7SF2|LSS|DHCR7	0.575877556154751	1.9922607523185745	0.28905732117874133	1.8483805409193113	0.025948702564871758	0.22038898055097245	0.95590220488975552	1	1.9884742266816937	0.025997400259974001	0.22089791020897911	0.95510448955104488	1	1.9960617263509308	0.025997400259974001	0.21764780043734758	0.95640435956404357	1	True	high_burden	False	False	False	1401	1.0480589007209413	1	5	SC5D|DHCR7|MSMO1|TM7SF2|NSDHL	5	SC5D|DHCR7|MSMO1|TM7SF2|NSDHL	False	0	0	NOT_SUPPORTED
7	KEGG_Legacy_v2026.1	hsa00140	Steroid Hormone Biosynthesis	KEGG_STEROID_HORMONE_BIOSYNTHESIS	9554	11	HSD17B6|COMT|STS|HSD11B1|SRD5A3|CYP1B1|CYP1A1|SRD5A1|CYP7B1|AKR1C3|HSD17B8	0.08969335170512456	0.27979868042050909	0.32056388389796742	-1.2551081559612078	0.85810709464526769	0.93007736709938704	1	1	0.2790282663802704	0.85931406859314063	0.9313855711203074	1	1	0.28057336055989679	0.85691430856914308	0.92832255236014849	1	1	True	high_burden	False	False	False	928	1.6663097273902927	1	1	HSD11B1	1	HSD11B1	False	0	0	NOT_SUPPORTED
8	KEGG_Legacy_v2026.1	hsa00190	Oxidative Phosphorylation	KEGG_OXIDATIVE_PHOSPHORYLATION	9554	80	NDUFAB1|COX10|UQCRC1|NDUFS1|ATP6V0A1|ATP6V1H|NDUFB4|NDUFB2|ATP5F1D|NDUFB7|ATP6V1D|LHPP|NDUFC1|TCIRG1|ATP5F1B|COX6A1|COX7A2|ATP6V0E1|ATP6V1A|NDUFS7|COX7A2L|ATP5PB|SDHB|ATP6V0B|NDUFB3|NDUFA8|ATP5F1E|NDUFA1|COX7C|UQCR11|NDUFA5|NDUFA10|ATP6V1E1|COX4I1|COX7B|NDUFA2|ATP5MC2|COX5B|NDUFB5|ATP6V1G1|COX17|NDUFA9|UQCRC2|NDUFB10|NDUFS6|NDUFB9|NDUFC2|ATP5F1A|ATP5MC3|UQCRB|NDUFS2|ATP5MC1|NDUFV3|NDUFS4|UQCRQ|COX6C|NDUFB6|ATP5F1C|NDUFB8|ATP5MG|NDUFV1|ATP5PD|NDUFS5|ATP5ME|UQCRFS1|NDUFA3|ATP6V0E2|NDUFA11|COX8A|NDUFV2|CYC1|NDUFB1|UQCR10|NDUFA6|ATP6V0A2|ATP6V0C|NDUFA4|ATP5MF|ATP6V1E2|NDUFA7	0.28513880004666425	1.0653510075085588	0.26764774993125773	0.24055019013760501	0.41737913104344782	0.68362795452460379	1	1	1.065754056466282	0.41595840415958402	0.67936283294747446	1	1	1.0649482632872778	0.41885811418858115	0.68367532178820956	1	1	True	high_burden	False	False	False	1820	0.5993528612560306	1	19	ATP6V1G1|COX6A1|COX7A2L|ATP5F1B|UQCR11|NDUFB3|UQCRC2|NDUFA3|NDUFA10|ATP5MC1|COX6C|NDUFA2|NDUFS5|NDUFA4|UQCRQ|ATP5MC2|NDUFB10|NDUFA1|COX8A	19	ATP6V1G1|COX6A1|COX7A2L|ATP5F1B|UQCR11|NDUFB3|UQCRC2|NDUFA3|NDUFA10|ATP5MC1|COX6C|NDUFA2|NDUFS5|NDUFA4|UQCRQ|ATP5MC2|NDUFB10|NDUFA1|COX8A	False	0	0	NOT_SUPPORTED
9	KEGG_Legacy_v2026.1	hsa00230	Purine Metabolism	KEGG_PURINE_METABOLISM	9554	93	POLA2|ADSS2|POLR2B|RRM2B|GUCY1B1|POLD1|PDE4A|POLR1H|PKM|PDE8A|NT5C2|POLD3|POLR3H|POLE2|GMPR2|PRPS2|POLR2C|NME3|NME4|POLR2I|AK1|POLR3G|PDE4D|DGUOK|POLE4|AMPD2|ADCY7|POLR3GL|PDE1B|NT5C|ITPA|PAICS|PPAT|ADCY4|PDE6B|AMPD3|NT5E|GMPR|ADCY3|PNPT1|ENTPD1|ATIC|PAPSS1|NME7|PRUNE1|PRIM2|PRPS1|POLR2K|POLE3|PDE3B|ENPP3|ADK|DCK|PDE6D|GART|NPR2|PDE9A|POLR3K|ADCY9|AK4|ADCY1|NUDT2|NUDT5|HPRT1|RRM1|POLR2G|ADPRM|NUDT9|CANT1|PDE7B|RRM2|POLD4|POLE|POLR2L|IMPDH2|PFAS|PDE4B|PDE6G|POLR1D|ENTPD5|FHIT|ADA|ENTPD4|ENTPD6|ENPP1|PRIM1|PNP|APRT|PDE7A|NT5M|NME1|ADSL|NME2	0.19258322195125149	0.72439531760244069	0.26585376419694656	-1.0583254528962587	0.8531573421328934	0.93007736709938704	1	1	0.72398232149336084	0.85521447855214483	0.9313855711203074	1	1	0.72480878516817704	0.85111488851114891	0.92832255236014849	1	1	True	high_burden	False	False	False	2151	0.20550269034912957	1	25	PKM|PDE4B|ADK|ADSS2|APRT|ITPA|POLR3H|DCK|PRUNE1|PFAS|PRPS1|NT5C|POLR2I|PAICS|POLR3K|CANT1|ENTPD1|AMPD3|PDE1B|POLR2L|RRM1|PNP|IMPDH2|DGUOK|POLR2K	25	PKM|PDE4B|ADK|ADSS2|APRT|ITPA|POLR3H|DCK|PRUNE1|PFAS|PRPS1|NT5C|POLR2I|PAICS|POLR3K|CANT1|ENTPD1|AMPD3|PDE1B|POLR2L|RRM1|PNP|IMPDH2|DGUOK|POLR2K	False	0	0	NOT_SUPPORTED
