regulator	regulator_ensg	n_rev_edges	rho_rev_raw	n_stable_edges	rho_stable_raw	rho_raw_difference_rev_minus_stable
KDM1A	ENSG00000004487	41	0.07247386759581882	1024	-0.05851551882912523	0.13098938642494407
HCCS	ENSG00000004961	9	0.6666666666666667	242	-0.18773259814978194	0.8543992648164487
CREBBP	ENSG00000005339	59	-0.1338983050847458	400	0.0005096281851761573	-0.13440793326992195
KMT2E	ENSG00000005483	9	0.13333333333333333	50	0.015222088835534215	0.11811124449779911
MED24	ENSG00000008838	57	0.0311122634171636	321	0.05917273756312765	-0.028060474145964052
CSDE1	ENSG00000009307	10	-0.34545454545454546	230	0.18002953947514416	-0.5254840849296896
RB1CC1	ENSG00000023287	6	0.5428571428571429	43	0.2511325883418907	0.29172455451525225
CUL3	ENSG00000036257	8	0.2380952380952381	105	0.16878498859630933	0.06931024949892878
METTL1	ENSG00000037897	9	0.19999999999999998	98	-0.1574189188327627	0.35741891883276267
THRAP3	ENSG00000054118	4	0.19999999999999998	98	0.37578180288047736	-0.17578180288047737
TAF11	ENSG00000064995	14	0.2527472527472528	609	0.08064536695044562	0.17210188579680719
CYB5R4	ENSG00000065615	11	0.13636363636363638	50	-0.10088835534213686	0.23725199170577324
ELAVL1	ENSG00000066044	22	-0.4500282326369283	719	0.07822239053260553	-0.5282506231695339
CBFB	ENSG00000067955	34	0.06524064171122994	178	0.15497872711662264	-0.0897380854053927
CFAP20	ENSG00000070761	11	0.05454545454545456	128	-0.010775270097051821	0.06532072464250638
SEL1L	ENSG00000071537	5	-0.3	158	0.2902447521065354	-0.5902447521065354
SMARCE1	ENSG00000073584	36	0.3238095238095239	743	0.09889999617330952	0.22490952763621436
BCS1L	ENSG00000074582	10	0.5878787878787878	118	-0.3153579554377162	0.903236743316504
KIFAP3	ENSG00000075945	11	-0.44545454545454555	419	0.07660396380406428	-0.5220585092586099
TP53INP2	ENSG00000078804	10	0.09090909090909088	199	0.04117862037460028	0.0497304705344906
TNPO1	ENSG00000083312	5	-0.19999999999999998	279	-0.06868293383726198	-0.131317066162738
RTRAF	ENSG00000087302	4	0.7999999999999999	183	-0.0068847759510624815	0.8068847759510624
NUP188	ENSG00000095319	10	0.29696969696969694	52	0.08597285067873303	0.2109968462909639
BTAF1	ENSG00000095564	25	-0.23384615384615384	251	0.12679795105293112	-0.36064410489908494
WAC	ENSG00000095787	20	-0.13383458646616542	383	0.21831491018823562	-0.35214949665440104
MED15	ENSG00000099917	38	0.191377612430244	593	0.21348339371104974	-0.02210578128080573
SMARCB1	ENSG00000099956	20	0.4030075187969925	467	0.06344074847259268	0.3395667703243998
MCAT	ENSG00000100294	10	0.309090909090909	8	0.7142857142857144	-0.4051948051948054
YY1	ENSG00000100811	6	0.6	103	0.18191802486491235	0.4180819751350876
GSS	ENSG00000100983	10	0.7939393939393938	15	0.5	0.29393939393939383
DNTTIP1	ENSG00000101457	8	-0.6904761904761906	74	0.14070344316919658	-0.8311796336453872
SUPT20H	ENSG00000102710	99	0.2364502164502164	1385	0.007744557677657516	0.22870565877255888
WDR59	ENSG00000103091	9	-0.16666666666666669	162	0.13961677258556426	-0.30628343925223095
TSC2	ENSG00000103197	4	0.7999999999999999	161	0.16429434092477574	0.6357056590752241
ELOB	ENSG00000103363	31	0.5495967741935484	595	0.2571197032806166	0.29247707091293174
