gene,n_both,n_inv,rate,decile,p_expected,enrichment_vs_decile,odds_ratio,p_enrichment,q_enrichment,sig_enriched,p_two_sided,q_two_sided,sig_two_sided,direction,shown_in_fig2a,label_rank_fig2a,label_rank_fig2a_two_sided
CCNC,1304,288,0.22085889570552147,9,0.05760187253963187,3.8342311797861037,4.637635293741219,1.145339829741323e-82,7.066746749503964e-80,True,1.145339829741323e-82,7.066746749503964e-80,True,up,True,1,1
NCKAP1L,244,91,0.3729508196721312,8,0.03417766678558687,10.912120538006093,16.807564779565272,1.074045636569118e-64,3.313430788815729e-62,True,1.074045636569118e-64,3.313430788815729e-62,True,up,True,2,2
AHR,727,165,0.22696011004126548,9,0.059488774909610694,3.8151753904180503,4.641694855576374,5.634558948597219e-49,1.158840957094828e-46,True,5.634558948597219e-49,1.158840957094828e-46,True,up,True,3,3
ARNT,922,177,0.19197396963123645,9,0.05948033856090508,3.227519786805922,3.7567426086376647,8.125512417584649e-42,1.2533602904124322e-39,True,8.125512417584649e-42,1.2533602904124322e-39,True,up,True,4,4
DOCK2,111,40,0.36036036036036034,7,0.036323681489141675,9.920810490205508,14.946619217081851,5.158050740033004e-28,6.365034613200727e-26,True,5.158050740033004e-28,6.365034613200727e-26,True,up,True,5,5
DOLPP1,125,38,0.304,7,0.03664853664853665,8.295010600706712,11.48133706998091,1.462643719206739e-23,1.5040852912509297e-21,True,1.462643719206739e-23,1.5040852912509297e-21,True,up,True,6,6
ARHGAP30,362,71,0.19613259668508287,9,0.06099672486805599,3.215461110565259,3.7560031684694977,4.6615082042837676e-18,4.1087865172044063e-16,True,4.6615082042837676e-18,3.5951882025538557e-16,True,up,True,7,8
STAT5B,270,42,0.15555555555555556,8,0.03774394166845379,4.121338383838384,4.6963217703349285,2.8744398241061904e-14,2.2169117143418993e-12,True,2.8744398241061904e-14,1.9705881905261326e-12,True,up,True,8,9
STIP1,275,41,0.14909090909090908,8,0.03782894736842105,3.941185770750988,4.456521739130435,2.5306629312619276e-13,1.7349100317651215e-11,True,2.5306629312619276e-13,1.5614190285886092e-11,True,up,True,9,10
STAT3,257,38,0.14785992217898833,8,0.03799457220397086,3.891606448026682,4.39334637964775,2.5291365841566603e-12,1.5604772724246595e-10,True,2.5291365841566603e-12,1.4186157022042358e-10,True,up,True,10,11
CBFB,212,34,0.16037735849056603,8,0.038157613725350606,4.203023796113771,4.814837330202918,3.6368600250923812e-12,2.039947850438181e-10,True,3.6368600250923812e-12,1.869952196234999e-10,True,up,True,11,12
SUPT7L,1375,148,0.10763636363636364,9,0.060672576932912795,1.7740529424912987,1.8674187415856036,4.8719430953442406e-11,2.50499074152283e-09,True,6.768048621529738e-11,2.982775713917035e-09,True,up,True,12,14
