gene,n_both,n_inv,rate,enrichment
CCNC,1304,288,0.22085889570552147,4.238836499354841
ARNT,922,177,0.19197396963123645,3.6844622753340115
SGF29,2218,166,0.07484220018034266,1.4364096533356288
AHR,727,165,0.22696011004126548,4.355934114708408
TAF6L,1642,129,0.07856272838002436,1.5078159269172797
TADA1,1375,100,0.07272727272727272,1.3958188876663413
SUPT20H,1491,100,0.0670690811535882,1.2872239909733196
NCKAP1L,244,91,0.3729508196721312,7.157862226198811
ATAD5,1817,90,0.04953219592735278,0.9506471510660967
ARHGAP30,362,71,0.19613259668508287,3.764276765426149
LEO1,952,59,0.06197478991596639,1.1894517569530667
CREBBP,461,59,0.1279826464208243,2.4563081835560077
ATP2A2,924,55,0.05952380952380952,1.1424112919888212
EIF4G2,604,55,0.09105960264900662,1.7476623076120374
MED12,1008,53,0.05257936507936508,1.0091299745901254
DHX36,1019,51,0.050049067713444556,0.9605672178371168
STAT5B,270,42,0.15555555555555556,2.985501509730786
KDM1A,1073,41,0.03821062441752097,0.7333577799831315
STIP1,275,41,0.14909090909090908,2.8614287197159998
DOP1B,431,40,0.09280742459396751,1.781207397254032
DOCK2,111,40,0.36036036036036034,6.916219713662052
TSC1,336,39,0.11607142857142858,2.2277020193782016
MED15,633,38,0.06003159557661927,1.1521569807356453
DOLPP1,125,38,0.304,5.834522950445307
STAT3,257,38,0.14785992217898833,2.8378029914617255
CPSF6,630,37,0.05873015873015873,1.1271791414289702
SMARCE1,783,36,0.04597701149425287,0.8824142393292963
TAF13,878,35,0.03986332574031891,0.7650772661610784
CBFB,212,34,0.16037735849056603,3.0780440093585595
ELOB,631,32,0.05071315372424723,0.9733126950446755
WDR82,407,30,0.07371007371007371,1.414681305067238
NSD1,749,30,0.04005340453938585,0.7687253553569638
NFRKB,1253,27,0.02154828411811652,0.4135656520719308
BTAF1,277,25,0.09025270758122744,1.7321759661924365
ELAVL1,745,22,0.02953020134228188,0.5667586758645212
DENR,632,22,0.03481012658227848,0.6680936922770068
SMARCB1,493,21,0.04259634888438134,0.8175308393786128
UBR4,141,21,0.14893617021276595,2.8584588922954333
WAC,403,20,0.04962779156327544,0.9524818712363373
USP22,592,18,0.030405405405405407,0.5835560383402357
SKIC8,443,18,0.040632054176072234,0.7798310941251004
UBXN1,328,18,0.054878048780487805,1.0532474838335961
LRPPRC,277,17,0.061371841155234655,1.1778796570108567
UFM1,498,15,0.030120481927710843,0.578087641729283
MEN1,250,15,0.06,1.1515505823247316
YEATS2,89,14,0.15730337078651685,3.019046470514278
ACTR8,151,14,0.09271523178807947,1.7794379859322567
YTHDF2,471,13,0.027600849256900213,0.5297295672406763
RPRD2,784,13,0.016581632653061226,0.31824314562545736
UBE2L3,456,13,0.02850877192982456,0.5471548819525406
GATA3,299,13,0.043478260869565216,0.8344569437135737
NAA30,220,13,0.05909090909090909,1.1341028462289025
TMED9,199,12,0.06030150753768844,1.157337268668072
THAP11,221,12,0.05429864253393665,1.0421272238232866
PPP1R11,80,12,0.15,2.878876455811829
BATF,81,12,0.14814814814814814,2.843334771172177
ATP5ME,35,12,0.34285714285714286,6.58028904185561
PRKAR1A,299,11,0.03678929765886288,0.706078952373024
FAM98B,295,11,0.03728813559322034,0.7156529042696074
SIK3,165,11,0.06666666666666667,1.2795006470274797
CYB5R4,61,11,0.18032786885245902,3.4609443731071172
TFAM,157,11,0.07006369426751592,1.344698132226332
PDCL,206,11,0.05339805825242718,1.0248427512598746
CFAP20,139,11,0.07913669064748201,1.518831703306001
EHMT2,362,10,0.027624309392265192,0.5301798261163589
EIF1,51,10,0.19607843137254902,3.763237197139646
ATP5PO,84,10,0.11904761904761904,2.2848225839776424
CSDE1,248,10,0.04032258064516129,0.773891520379524
FOXO1,227,10,0.04405286343612335,0.8454850090489955
GDAP2,199,10,0.05025125628140704,0.9644477238900602
GSS,26,10,0.38461538461538464,7.381734502081614
HCCS,254,10,0.03937007874015748,0.7556106183233148
PAXIP1,308,10,0.032467532467532464,0.6231334319939024
MYB,423,10,0.02364066193853428,0.4537236336976878
MCAT,18,10,0.5555555555555556,10.662505391895666
METTL1,108,9,0.08333333333333333,1.5993758087843495
KMT2E,59,9,0.15254237288135594,2.92767097201203
UBR5,350,9,0.025714285714285714,0.49352167813917075
TARS2,103,9,0.08737864077669903,1.677015411152522
WDR59,173,9,0.05202312138728324,0.9984542621312703
