gene,n_both,n_inv,rate,decile,p_expected,p_naive,p_degree_matched,q_naive,q_degree_matched,enrichment_vs_decile,OR_logistic,p_logistic,sig,direction,logistic_uncalibrated_do_not_use
CCNC,1304,288,0.22085889570552147,9,0.06335307751738346,1.1132692394897406e-95,3.8563151506623495e-77,2.9390307922529153e-93,1.0180671997748603e-74,3.4861589106688613,4.4294176899448345,1.2299561358201326e-53,True,up,3.0065594431158794e-53
NCKAP1L,244,91,0.3729508196721312,6,0.03294836956521739,4.7169499077630805e-52,4.333171796351878e-69,4.1509159188315107e-50,5.7197867711844784e-67,11.319249619739734,12.457477663684676,2.6900728633761413e-280,True,up,1.7754480898282533e-278
AHR,727,165,0.22696011004126548,9,0.0660851426946051,2.2134418697445876e-57,2.4838385944030387e-44,2.9217432680628554e-55,2.185777963074674e-42,3.434359082647385,4.923742088543274,1.2902406825482913e-64,True,up,3.406235401927489e-64
ARNT,922,177,0.19197396963123645,9,0.06611333714939897,2.722506430731027e-50,3.712164518809898e-37,1.796854244282478e-48,2.450028582414533e-35,2.90371017269065,3.8080091560176963,8.363692903068147e-39,True,up,1.8711990901779582e-38
DOCK2,111,40,0.36036036036036034,3,0.026139173436948077,3.776520850589277e-23,1.997642104624727e-34,1.994003009111138e-21,1.0547550312418559e-32,13.786218651083514,13.859705463007275,2.951310615808271e-233,True,up,1.298576670955639e-231
ARHGAP30,362,71,0.19613259668508287,7,0.04790649884407912,8.810370912966579e-22,5.552497652317554e-24,3.876563201705295e-20,2.4430989670197237e-22,4.094070771555108,4.644718727900174,2.1973180465071455e-87,True,up,6.989059810576945e-87
DOLPP1,125,38,0.304,4,0.039285714285714285,4.018719517734269e-19,2.1899619396930637e-23,1.515631360974067e-17,8.259285029699554e-22,7.738181818181818,10.443033601965737,2.522994319322416e-195,True,up,5.550587502509315e-194
SMG1,810,3,0.003703703703703704,9,0.07139235693009696,3.649256444814614e-15,8.3652379919241465e-22,9.634037014310581e-14,2.760528537334968e-20,0.05187815423057323,0.05820877158466648,4.582888125140419e-185,True,down,8.065883100247138e-184
CREBBP,461,59,0.1279826464208243,8,0.03793971890486636,4.04675325693394e-10,7.545366590112151e-16,8.218021998696618e-09,2.2133075330995643e-14,3.3733156205437393,2.6416413216131645,1.218157638296198e-31,True,up,2.5523302897634623e-31
NFRKB,1253,27,0.02154828411811652,9,0.07163747388719267,5.675469430526527e-08,3.246507207267327e-15,8.324021831438907e-07,8.570779027185744e-14,0.3007962585622232,0.3121053637669467,2.1144865237159726e-24,True,down,4.0746309654088815e-24
MED24,382,57,0.14921465968586387,7,0.04983260365696626,1.7355011837541555e-12,2.247211913404081e-13,4.1652028410099734e-11,5.393308592169794e-12,2.9943179512155527,3.287416443228994,1.7780468796940088e-51,True,up,4.306462167332278e-51
ELOF1,1936,67,0.03460743801652893,9,0.07193086225026288,0.00023533484027416597,3.679355551027962e-12,0.0012679264863750983,8.094582212261516e-11,0.4811208559703099,0.45503029388197636,2.52876740762507e-09,True,down,3.6883679315636384e-09
RPRD2,784,13,0.016581632653061226,9,0.07101697061803444,3.388445129400079e-07,4.280828183365015e-12,4.0661341552800946e-06,8.693374156987416e-11,0.23348831284631555,0.26675684605887207,8.81181159698757e-42,True,down,2.005446777245447e-41
SETDB1,634,8,0.012618296529968454,9,0.07083884792336295,2.4820428189237836e-07,1.0971573524417262e-11,3.1202824009327566e-06,2.0689252931758266e-10,0.17812678918239278,0.21184663069956172,1.6640474589326384e-65,True,down,4.482740093451189e-65
STAT3,257,38,0.14785992217898833,6,0.04204255319148936,9.86237508253315e-09,2.2138061967569783e-11,1.6272918886179696e-07,3.896298906292282e-10,3.5169111044597425,3.5293999169823795,5.678981231212531e-65,True,up,1.5143949949900082e-64
CBFB,212,34,0.16037735849056603,6,0.042398648648648646,7.2144773280744166e-09,3.1671494068298e-11,1.2697480097410973e-07,5.22579652126917e-10,3.782605427347215,4.048230726525549,3.757420259093386e-80,True,up,1.1401826993110965e-79
RBM10,95,21,0.22105263157894736,2,0.03956478733926805,1.8099887785733428e-08,1.2487967570830055e-10,2.81080610319625e-07,1.939307905117138e-09,5.587105263157895,7.140329230887293,6.924219699557069e-116,True,up,7.9478000029698525e-115
STAT5B,270,42,0.15555555555555556,7,0.051028179741051026,3.5585929568688516e-10,1.561269045201192e-10,7.828904505111473e-09,2.289861266295082e-09,3.048424543946932,3.711087230677379,1.2572933686720945e-69,True,up,3.4939520982045573e-69
STIP1,275,41,0.14909090909090908,7,0.051187603200812906,2.0743496814442923e-09,1.0319061399211171e-09,3.91163082786638e-08,1.4338064259956573e-08,2.9126370403789754,3.5145095869341967,7.55159893002981e-64,True,up,1.9738832846810593e-63
EIF4G2,604,55,0.09105960264900662,8,0.03871445010685517,0.0001077385610563084,8.798789386845501e-09,0.0006614646539271027,1.1614401990636062e-07,2.35208306969812,1.698460238215723,4.8864234449757075e-09,True,up,6.973058321478847e-09
ATF7IP2,372,1,0.002688172043010753,7,0.0569701646090535,7.496808917787839e-08,1.589609556317428e-08,1.0416618706820996e-06,1.998366299370481e-07,0.04718561130124518,0.05008654344442539,0.0,True,down,0.0
SUPT7L,1375,148,0.10763636363636364,9,0.06801535830671442,4.708756570566597e-16,5.3936105114669445e-08,1.553889668286977e-14,6.472332613760334e-07,1.5825302742798,1.7545736028613503,5.4352527047022875e-06,True,up,7.210586502720623e-06
PCGF1,319,1,0.003134796238244514,7,0.056584493549623194,1.034124580724324e-06,3.225214864442713e-07,1.1393454009313821e-05,3.6015647395429206e-06,0.05540027031425802,0.060380427412229314,9.642714082307312e-302,True,down,8.485588392430435e-300
BRMS1,320,1,0.003125,7,0.05659172202350537,1.0357685463012565e-06,3.274149763220837e-07,1.1393454009313821e-05,3.6015647395429206e-06,0.055220090293453726,0.060151094993634927,3.016926201436387e-302,True,down,3.982342585896031e-300
EWSR1,791,23,0.029077117572692796,9,0.07071602748836178,0.001826453702620627,4.808544343690239e-07,0.006344523388050599,5.0778228269368925e-06,0.4111814337630633,0.4741412679625241,3.315735978626711e-14,True,down,5.305177565802737e-14
DOP1B,431,40,0.09280742459396751,8,0.03938730853391685,0.000503871707947633,7.512052954267322e-07,0.002254612388104663,7.627622999717588e-06,2.356277391080175,1.8597394236439975,2.5719967784583458e-14,True,up,4.140287497030508e-14
UBR4,141,21,0.14893617021276595,4,0.04455741626794258,1.5987871181112877e-05,1.3228732761438718e-06,0.00012414111740628823,1.2934760922295635e-05,3.342567471083821,4.035024381094548,2.518903093816242e-72,True,up,7.228156703994434e-72
ELAVL1,745,22,0.02953020134228188,9,0.07064478385984885,0.0038451571535780818,1.407563266291595e-06,0.01194260574758369,1.3271310796463608e-05,0.4180096495286391,0.4882384318430236,1.0107113588672042e-13,True,down,1.6073963779574814e-13
TSC1,336,39,0.11607142857142858,7,0.05184331797235023,3.9550395554776265e-06,3.1391085420582767e-06,3.8671497875781234e-05,2.8576712244944313e-05,2.238888888888889,2.5193815855532327,2.536356534543516e-33,True,up,5.3999848799958725e-33
CYB5R4,61,11,0.18032786885245902,0,0.03223593964334705,0.0003013666720355792,3.6759034142467616e-06,0.0015011471965545834,3.23479500453715e-05,5.594000697593303,6.052625603140725,8.698897466402302e-73,True,up,2.5236361880551733e-72
EIF1,51,10,0.19607843137254902,0,0.0326975476839237,0.00027677913391187584,5.214806972965079e-06,0.0014526679980512089,4.44099690600897e-05,5.996732026143791,6.970474182388959,1.1359503820205885e-74,True,up,3.3321211205937267e-74
CHD7,339,3,0.008849557522123894,7,0.05647330003841721,2.5935172862028163e-05,8.964651182796525e-06,0.0001850509631236604,7.395837225807133e-05,0.1567033893203299,0.1693234274604785,2.720570823140743e-119,True,down,3.264684987768892e-118
KDM1A,1073,41,0.03821062441752097,9,0.07077807956542578,0.033760940344531365,9.555277292864962e-06,0.0712558739580927,7.64422183429197e-05,0.5398652330231687,0.588616956391038,1.4821094742830865e-06,True,down,1.996310720462933e-06
TRAF3,295,2,0.006779661016949152,7,0.056284222590092955,3.595885376001026e-05,1.1725103891866973e-05,0.00023732843481606773,9.104198316037884e-05,0.12045402254774139,0.1332994635469197,5.562541408017792e-160,True,down,7.729004903772089e-159
SENP5,1467,64,0.043626448534423996,9,0.07093621565645125,0.14278000986592404,1.8205496407038392e-05,0.22436858693216635,0.0001373214586130896,0.6150095283586843,0.6291073463096948,0.00018139860009776425,True,down,0.0002291350738077022
SIN3B,564,6,0.010638297872340425,8,0.042601999016876946,2.1004302947431237e-07,2.2856897772739958e-05,2.7725679890609234e-06,0.00016761725033342638,0.24971358428805238,0.18282934642571724,3.455303782608063e-84,True,down,1.0859526173911055e-83
NUP188,64,10,0.15625,1,0.03064066852367688,0.0017649282035697117,2.428578917679597e-05,0.006212547276565385,0.00017328238763984153,5.099431818181818,5.036847385846238,5.6096028301225725e-61,True,up,1.4104144258593897e-60
YEATS2,89,14,0.15730337078651685,2,0.042899408284023666,0.0002191400624855574,2.609193544779461e-05,0.0012052703436705658,0.000181270288374152,3.6667958155753584,4.740565001496891,3.445429391208929e-70,True,up,9.676525098714439e-70
INTS13,221,0,0.0,6,0.0482151920148875,1.266228610429902e-05,2.826436837180427e-05,0.00010446386036046692,0.00018746010888006422,0.0,1.6358825892949165e-10,1.1454460115507583e-111,True,down,1.1630682578823084e-110
