gene,n_both,n_inv,rate,decile,p_expected,enrichment_vs_decile,p_ora_pooled,p_ora_indeg_matched,p_ora_fisher,q_ora_pooled,q_ora_indeg_matched,q_ora_fisher
DDIT4,32,18,0.5625,8,0.043616645054815516,12.896452702702701,2.0857775627410268e-15,8.526974008470374e-17,2.0234023299073957e-15,1.293807822168259e-11,5.289281977454174e-13,1.2551164652415577e-11
PSME1,38,18,0.47368421052631576,8,0.04363207547169811,10.856330014224751,1.0950463664317184e-13,4.746006255564978e-15,1.0635292791393993e-13,3.3962863054879747e-10,1.471973840163478e-11,3.298536059250847e-10
CHAC1,10,9,0.9,3,0.04987012987012987,18.046875,2.8622702273217316e-11,1.8223047814299233e-11,2.8403191309028813e-11,5.918220740025567e-08,3.767918853069938e-08,5.872833189663524e-08
LRRFIP2,10,8,0.8,3,0.05012987012987013,15.958549222797929,2.342723391341696e-09,1.6383394962245254e-09,2.3289565994345405e-09,3.6329782991231352e-06,2.540654973770183e-06,3.611629446573114e-06
TLE5,12,8,0.6666666666666666,4,0.05727554179566564,11.639639639639638,2.3426588023360037e-08,4.652429228953717e-08,2.3292793934675667e-08,2.906302510178046e-05,5.771803701439981e-05,2.889704015535863e-05
IL2RA,32,11,0.34375,8,0.044029234940469175,7.807312583668005,3.8035434052249826e-07,6.565482287131295e-08,3.7675010400308557e-07,0.0002949172467826321,6.787614437845904e-05,0.0002921226118913925
MTX3,16,8,0.5,6,0.047044763146458064,10.628175519630485,5.035392225403893e-07,2.195573608925211e-07,5.008260330654895e-07,0.0003470504219353372,0.00019455918708804408,0.0003451804314561368
SLC3A2,23,9,0.391304347826087,8,0.044123711340206186,8.868346200731411,1.2503616713042258e-06,2.9423622750432987e-07,1.2422580983143034e-06,0.0006438430011016777,0.0002160040568963366,0.0006404754052682138
CTLA4,7,6,0.8571428571428571,1,0.06126126126126126,13.991596638655462,1.391858247642995e-07,3.505810503402905e-07,1.3874307220363975e-07,0.00014389494516882495,0.0002160040568963366,0.00014343721281319624
CFL1,30,10,0.3333333333333333,8,0.04408297972654408,7.561497326203208,1.7892376356562303e-06,3.6852327711424595e-07,1.7755150881462458e-06,0.000669800542357797,0.0002160040568963366,0.0006670936689609625
MIF,17,8,0.47058823529411764,6,0.047049875040747584,10.00190191550061,9.07008656532533e-07,3.977831756280701e-07,9.02193310004797e-07,0.0005114704269519366,0.0002160040568963366,0.0005087550092690686
IL2RB,24,9,0.375,8,0.044126310828325674,8.498331108144193,1.9068353925359412e-06,4.5241991523940537e-07,1.894643225180932e-06,0.000669800542357797,0.0002160040568963366,0.0006670936689609625
SLC38A2,18,8,0.4444444444444444,7,0.0445367597333591,9.97927211376235,1.5569313262171797e-06,4.526926873532767e-07,1.548787857330841e-06,0.0006438430011016777,0.0002160040568963366,0.0006404754052682138
DUSP6,11,7,0.6363636363636364,4,0.05739713659228686,11.08702757916241,2.9868738791212476e-07,5.512509936225316e-07,2.974180586549069e-07,0.0002646796953169871,0.00024424356524575455,0.00026355488826234106
CD69,25,9,0.36,8,0.044128910622753786,8.15791722296395,2.839897881366341e-06,6.793497537714657e-07,2.8219852537470856e-06,0.0006775340983890544,0.0002809337681762935,0.0006732605588074298
RHOF,12,7,0.5833333333333334,4,0.05740454076367389,10.161797752808988,6.840525077563955e-07,1.2578765615221033e-06,6.811934292632307e-07,0.0004243177705612921,0.0004876630194451005,0.00042254428417198196
IL1RAP,9,6,0.6666666666666666,2,0.053606965174129356,12.436194895591646,1.5236396806977443e-06,1.7313495841619596e-06,1.5189758224340328e-06,0.0006438430011016777,0.000596642303919813,0.0006404754052682138
TRUB1,9,6,0.6666666666666666,2,0.053606965174129356,12.436194895591646,1.5236396806977443e-06,1.7313495841619596e-06,1.5189758224340328e-06,0.0006438430011016777,0.000596642303919813,0.0006404754052682138
RANBP9,15,7,0.4666666666666667,6,0.04714828897338403,9.897849462365592,4.8305450482302e-06,2.3812146425823933e-06,4.811352913949428e-06,0.0011097729975619234,0.0007774039172599255,0.0011053637824158633
