term	kegg_id	display_name	category	subcategory	n_background_targets	n_all_dyads	n_sign_stable_dyads	n_reversal_dyads	n_lost_dyads	n_gained_dyads	reversal_fraction	lost_fraction_among_reversals	n_unique_lost_targets	n_unique_gained_targets	n_unique_mixed_targets	n_informative_targets	n_informative_reversal_dyads	n_informative_regulators	target_score_sum	target_score_variance	pathway_Z	signed_test_eligible	target_null_mean_Z	target_null_sd_Z	target_observed_T	target_marginal_p	target_maxT_p	target_excess_sign	regulator_null_mean_Z	regulator_null_sd_Z	regulator_observed_T	regulator_marginal_p	regulator_maxT_p	regulator_excess_sign	concordant_excess_sign	both_single_margin_maxT_supported
KEGG_ABC_TRANSPORTERS	hsa02010	ABC transporters	Environmental Information Processing	Membrane transport	20	269	257	12	1	11	0.04460966543	0.08333333333	1	5	1	5	12	12	-6.739130435	2.201323251	-4.542155015	False													False	False
KEGG_ADHERENS_JUNCTION	hsa04520	Adherens junction	Cellular Processes	Cellular community - eukaryotes	50	583	554	29	10	19	0.04974271012	0.3448275862	6	10	2	14	29	22	-2.462543552	4.043446388	-1.224638971	True	0.0005253785161	0.9968949344	-1.228980414	0.3141842908	1	-1	1.084753059	1.21538515	-1.900131847	0.06534673266	0.9499025049	-1	True	False
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	hsa04920	Adipocytokine signaling pathway	Organismal Systems	Endocrine system	45	439	419	20	12	8	0.04555808656	0.6	8	5	2	9	16	16	-1.15297732	2.738280489	-0.6967577347	False													False	False
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	hsa00250	Alanine, aspartate and glutamate metabolism	Metabolism	Amino acid metabolism	19	182	168	14	6	8	0.07692307692	0.4285714286	4	4	1	6	12	11	1.023504274	1.693060037	0.7865991649	False													False	False
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	hsa04960	Aldosterone-regulated sodium reabsorption	Organismal Systems	Excretory system	27	247	239	8	2	6	0.03238866397	0.25	2	4	0	5	7	7	-2.988461538	1.430111619	-2.498979556	False													False	False
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	hsa00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation	26	189	171	18	17	1	0.09523809524	0.9444444444	8	1	0	9	18	14	9.775085251	3.615934338	5.140558264	False													False	False
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	hsa00520	Amino sugar and nucleotide sugar metabolism	Metabolism	Glycan biosynthesis and metabolism	38	443	419	24	6	18	0.05417607223	0.25	6	8	2	11	22	19	-2.227695649	3.577919297	-1.17771603	True	0.002698517609	0.9937737782	-1.187810117	0.2524373781	1	-1	2.417214059	1.182441274	-3.040261001	0.002899855007	0.1056447178	-1	True	False
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	hsa04612	Antigen processing and presentation	Organismal Systems	Immune system	32	485	430	55	12	43	0.1134020619	0.2181818182	9	13	5	17	55	36	-11.36358057	8.241017354	-3.958446513	True	-0.01465855495	0.9901419651	-3.983053033	9.999500025e-05	0.003449827509	-1	2.325052913	1.209183462	-5.196481445	4.999750012e-05	4.999750012e-05	-1	True	True
KEGG_APOPTOSIS	hsa04210	Apoptosis	Cellular Processes	Cell growth and death	73	850	785	65	37	28	0.07647058824	0.5692307692	19	15	3	28	57	36	-6.588907661	9.442839509	-2.144184326	True	0.004878857016	1.000628071	-2.147714265	0.03324833758	0.808259587	-1	-1.404334367	1.123186654	-0.6587061525	0.5480225989	1	-1	True	False
KEGG_ARACHIDONIC_ACID_METABOLISM	hsa00590	Arachidonic acid metabolism	Metabolism	Lipid metabolism	18	159	157	2	0	2	0.01257861635	0	0	1	0	1	2	2	-0.8571428571	0.4081632653	-1.341640786	False													False	False
