term	kegg_id	kegg_display_name	category	subcategory	background_size	query_size	term_background_size	query_overlap	overlap_targets	odds_ratio	odds_ratio_is_infinite	fisher_p_greater	hypergeom_p_greater	fisher_bh_q	conventional_BH_descriptive	regulator_observed_z	regulator_null_overlap_mean	regulator_null_overlap_sd	regulator_null_overlap_q025	regulator_null_overlap_q975	regulator_null_z_mean	regulator_null_z_sd	regulator_marginal_exceedances	regulator_marginal_p	regulator_marginal_bh_q	regulator_maxT_exceedances	regulator_maxT_p	regulator_global_gate	regulator_maxT_term	degree_null_exact_mean	degree_null_exact_sd	degree_null_mc_mean	degree_null_mc_sd	degree_null_q025	degree_null_q975	degree_observed_z	degree_null_z_mean	degree_null_z_sd	degree_exceedances	degree_permutation_p_greater	degree_permutation_bh_q	exact_degree_sensitivity	joint_sensitivity_supported
KEGG_P53_SIGNALING_PATHWAY	hsa04115	p53 signaling pathway	Cellular Processes	Cell growth and death	9554	2577	58	31	ATM;ATR;BAX;BBC3;CASP9;CCNB1;CCNB2;CCNE2;CCNG1;CDK1;CDK2;CDK4;CDKN1A;COP1;CYCS;DDB2;EI24;FAS;GADD45A;GTSE1;MDM4;PMAIP1;PPM1D;PTEN;RCHY1;RRM2;SESN2;SHISA5;TNFRSF10B;TP53;ZMAT3	3.13418288674	False	1.6675923131e-05	1.6675923131e-05	0.00188437931381	True	4.55667196634	27.47995	3.18703592661	21	34	2.33692491923	0.892046432879	107	0.0053997300135	0.152542372881	3687	0.184390780461	False	False	19.351518164	3.34987430095	19.3669	3.3347840095	13	26	4.55667196634	1.10464112886	0.98957090003	11	0.0005999700015	0.0263653483992	True	False
KEGG_CELL_CYCLE	hsa04110	Cell cycle	Cellular Processes	Cell growth and death	9554	2577	109	48	ANAPC11;ATM;ATR;BUB1;CCNA2;CCNB1;CCNB2;CCNE2;CDC20;CDC25B;CDC25C;CDC45;CDK1;CDK2;CDK4;CDK7;CDKN1A;CDKN2C;CDKN2D;E2F4;GADD45A;HDAC1;HDAC2;MAD1L1;MAD2L1;MCM2;MCM3;MCM5;MYC;ORC3;ORC6;PCNA;PRKDC;PTTG1;RAD21;RB1;RBL2;RBX1;SKP2;SMAD3;TFDP1;TGFB1;TP53;YWHAE;YWHAH;YWHAQ;YWHAZ;ZBTB17	2.15187756451	False	8.59574163834e-05	8.59574163834e-05	0.00485659402566	True	4.03691004272	42.0104	4.42835091654	33	51	1.23871366888	0.905244008543	19	0.0009999500025	0.0508474576271	9453	0.472676366182	False	False	30.1544522447	4.47719539157	30.14925	4.44474683615	22	39	4.03691004272	0.162498118267	0.964709053858	2	0.000149992500375	0.0169491525424	True	False
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	hsa04660	T cell receptor signaling pathway	Organismal Systems	Immune system	9554	2577	88	40	AKT2;CARD11;CBL;CD28;CD3D;CD3G;CD4;CDK4;CSF2;CTLA4;FYN;IFNG;IL2;ITK;JUN;KRAS;LAT;LCK;LCP2;MAP2K1;MAP3K8;MAPK1;MAPK11;NCK2;NFAT5;NFATC2;NFATC3;NFKB1;NFKBIA;PIK3CD;PIK3CG;PIK3R2;PPP3CA;PRKCQ;PTPRC;RAF1;RASGRP1;SOS2;VAV1;ZAP70	2.27598213113	False	0.000142137416047	0.000142137416047	0.00535384267109	True	3.92428038051	39.74365	4.14469958833	32	48	2.43892716806	0.942362212174	1106	0.0553472326384	0.546028580924	10948	0.547422628869	False	False	29.0108301396	4.24095594076	29.01165	4.25151905529	21	38	3.92428038051	1.27290357329	1.02584819547	153	0.00769961501925	0.124293785311	False	False
KEGG_PROTEASOME	hsa03050	Proteasome	Genetic Information Processing	Folding, sorting and degradation	9554	2577	36	20	IFNG;POMP;PSMA3;PSMA5;PSMA7;PSMB1;PSMB10;PSMB6;PSMB8;PSMB9;PSMC1;PSMC2;PSMC6;PSMD1;PSMD11;PSMD3;PSMD8;PSME1;PSME2;PSME4	3.40291357059	False	0.000265273365983	0.000265273365983	0.00749397258901	True	3.8711774411	14.43245	2.58345446979	10	19	0.907080613385	0.916144390686	26	0.00134993250337	0.0508474576271	11889	0.594470276486	False	False	10.8852596648	2.61246056669	10.8742	2.60633350897	6	16	3.8711774411	0.43788813308	0.980549318361	13	0.00069996500175	0.0263653483992	True	False
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	hsa04612	Antigen processing and presentation	Organismal Systems	Immune system	9554	2577	32	17	CANX;CD4;CTSB;CTSS;HSP90AA1;HSPA1B;HSPA4;HSPA5;HSPA8;LGMN;LTA;NFYC;PSME1;PSME2;TAP1;TAP2;TAPBP	3.08213541667	False	0.00149356503041	0.00149356503041	0.0337545696873	True	3.33871567582	15.5942	2.42646375617	11	20	1.89643872506	0.913090043909	1048	0.0524473776311	0.546028580924	17932	0.896605169742	False	False	11.4742134886	2.5893162786	11.4824	2.58354218855	7	17	3.33871567582	1.13743870414	1.03071841471	543	0.027198640068	0.341494036409	False	False
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	hsa04060	Cytokine-cytokine receptor interaction	Environmental Information Processing	Signaling molecules and interaction	9554	2577	120	47	ACVR1;ACVR2B;CCL1;CCL3;CCL4;CCL5;CCR1;CCR4;CCR5;CCR7;CSF2;CXCR4;CXCR6;FAS;FLT3LG;IFNG;IL10RA;IL13;IL18RAP;IL1RAP;IL2;IL21R;IL23A;IL2RA;IL2RB;IL3;IL4R;LIF;LTA;LTB;OSM;PLEKHO2;TGFB1;TGFBR1;TGFBR2;TNFRSF10B;TNFRSF14;TNFRSF18;TNFRSF1A;TNFRSF1B;TNFRSF8;TNFRSF9;TNFSF10;TNFSF13B;TNFSF14;TNFSF8;VEGFB	1.75693323948	False	0.00230949383735	0.00230949383735	0.04349546727	True	3.02859162749	48.6677	4.41957879328	40	57	1.77285857592	0.862259278833	1440	0.0720463976801	0.546028580924	19503	0.975151242438	False	False	34.3970979776	4.64819638006	34.44345	4.64602002767	26	44	3.02859162749	0.429657174491	0.96162572675	118	0.00594970251487	0.124293785311	False	False
KEGG_APOPTOSIS	hsa04210	Apoptosis	Cellular Processes	Cell growth and death	9554	2577	73	31	AKT2;ATM;BAX;BCL2;BCL2L1;BIRC3;CAPN2;CASP10;CASP6;CASP9;CYCS;ENDOD1;ENDOG;FAS;IL1RAP;IL3;IRAK1;MYD88;NFKB1;NFKBIA;PIK3CD;PIK3CG;PIK3R2;PPP3CA;PRKACA;PRKAR1A;TNFRSF10B;TNFRSF1A;TNFSF10;TP53;TRADD	2.0104832978	False	0.00294555987184	0.00294555987184	0.0475497522169	True	2.99382660835	31.89655	3.66396617035	25	39	1.95159013836	0.914134968458	2524	0.126243687816	0.642102677475	19596	0.97980100995	False	False	22.9577492433	3.7702341043	22.98455	3.77334219194	16	31	2.99382660835	0.872033858688	0.998852229741	519	0.025998700065	0.341494036409	False	False
KEGG_MAPK_SIGNALING_PATHWAY	hsa04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction	9554	2577	157	58	AKT2;ARRB2;ATF2;ATF4;CDC25B;CRKL;DDIT3;DUSP10;DUSP4;DUSP5;DUSP6;DUSP7;ECSIT;FAS;FLNA;FLNB;GADD45A;HSPA1B;HSPA8;JUN;JUND;KRAS;MAP2K1;MAP3K11;MAP3K13;MAP3K2;MAP3K3;MAP3K8;MAP4K4;MAPK1;MAPK11;MAPK7;MKNK1;MKNK2;MYC;NFATC2;NFKB1;PPM1A;PPP3CA;PPP5C;PRKACA;PTPN7;RAC3;RAF1;RAP1A;RAPGEF2;RASA2;RASGRP1;RASGRP2;RELB;SOS2;STK4;STMN1;TGFB1;TGFBR1;TGFBR2;TNFRSF1A;TP53	1.59965675011	False	0.00373872391288	0.00373872391288	0.0528094752695	True	2.83791881481	66.2367	5.3261123824	56	77	2.47044782605	0.908494179607	6802	0.34013299335	0.966822935449	19853	0.992650367482	False	False	49.9831196297	5.54264929182	49.95625	5.55815940195	39	61	2.83791881481	1.37951537604	1.0077437495	1804	0.0902454877256	0.623979912116	False	False
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	hsa04650	Natural killer cell mediated cytotoxicity	Organismal Systems	Immune system	9554	2577	81	33	CD48;CSF2;FAS;FYN;HCST;ICAM1;ICAM2;IFNG;ITGAL;ITGB2;KRAS;LAT;LCK;LCP2;MAP2K1;MAPK1;NCR3;NFAT5;NFATC2;NFATC3;PIK3CD;PIK3CG;PIK3R2;PPP3CA;PTPN11;RAC3;RAF1;SHC4;SOS2;TNFRSF10B;TNFSF10;VAV1;ZAP70	1.87251867138	False	0.0048299884463	0.0048299884463	0.0606431882702	True	2.80365850339	37.9396	4.00240575654	30	46	2.66116471146	0.948193883651	8919	0.445977701115	0.985822406993	19887	0.994350282486	False	False	26.6704784735	4.09431597837	26.65935	4.12422205725	19	35	2.80365850339	1.20957503458	1.03685808287	1577	0.0788960551972	0.623979912116	False	False
KEGG_OOCYTE_MEIOSIS	hsa04114	Oocyte meiosis	Cellular Processes	Cell growth and death	9554	2577	77	31	ANAPC11;BUB1;CALM1;CALM2;CALM3;CAMK2D;CCNB1;CCNB2;CCNE2;CDC20;CDC25C;CDK1;CDK2;FBXO5;ITPR1;MAD2L1;MAP2K1;MAPK1;PPP1CC;PPP2R1B;PPP2R5A;PPP2R5D;PPP3CA;PRKACA;PTTG1;RBX1;SGO1;YWHAE;YWHAH;YWHAQ;YWHAZ	1.83459988388	False	0.00757837682025	0.00757837682025	0.0778505982444	True	2.63749755773	29.03165	3.81353487954	22	37	0.882295747859	0.926322986393	556	0.0278486075696	0.449556093624	19971	0.998550072496	False	False	20.991301525	3.77725889247	20.96845	3.76318410359	14	29	2.63749755773	0.0513649256198	0.970148502566	132	0.00664966751662	0.124293785311	False	False
