regulator_ensg	ENSG00000168209	ENSG00000134460	ENSG00000100385	ENSG00000128965	ENSG00000177034	ENSG00000134294	ENSG00000165175	ENSG00000125734	ENSG00000010017	ENSG00000139318	ENSG00000164056	ENSG00000181826	ENSG00000105281	ENSG00000134242	ENSG00000175197	ENSG00000009790	ENSG00000151012	ENSG00000137575	ENSG00000133816	ENSG00000134109	ENSG00000155307	ENSG00000156675	ENSG00000171552	ENSG00000196083	ENSG00000070540	ENSG00000141682	ENSG00000163599	ENSG00000165832	ENSG00000166974	ENSG00000169032	ENSG00000130766	ENSG00000135069	ENSG00000101255	ENSG00000035720	ENSG00000095794	ENSG00000100647	ENSG00000108582	ENSG00000111670	ENSG00000134440	ENSG00000135269	ENSG00000182158	ENSG00000101445	ENSG00000103257	ENSG00000125735	ENSG00000128271	ENSG00000129226	ENSG00000143878	ENSG00000164674	ENSG00000186480	ENSG00000196937	ENSG00000198431	ENSG00000106723	ENSG00000104964	ENSG00000153179	ENSG00000140511	ENSG00000132274	ENSG00000178802	ENSG00000135722	ENSG00000160014	ENSG00000100911	ENSG00000103187	ENSG00000171621	ENSG00000126353	ENSG00000168394	ENSG00000181026	ENSG00000189057	ENSG00000064666	ENSG00000111348	ENSG00000137804	ENSG00000188486	ENSG00000101224	ENSG00000197747	ENSG00000240065	ENSG00000087088	ENSG00000131370	ENSG00000164104	ENSG00000140525	ENSG00000146918	ENSG00000169189	ENSG00000196776	ENSG00000120694	ENSG00000125870	ENSG00000132819	ENSG00000099985	ENSG00000111885	ENSG00000112972	ENSG00000140030	ENSG00000169255	ENSG00000171174	ENSG00000187840	ENSG00000023445	ENSG00000067113	ENSG00000068912	ENSG00000074935	ENSG00000086300	ENSG00000100664	ENSG00000104626	ENSG00000110031	ENSG00000118503	ENSG00000122884	ENSG00000128595	ENSG00000139182	ENSG00000139644	ENSG00000150938	ENSG00000156535	ENSG00000163513	ENSG00000174130	ENSG00000185800	ENSG00000198862	ENSG00000088826	ENSG00000130340	ENSG00000139626	ENSG00000164751	ENSG00000196182	ENSG00000197081	ENSG00000221963	ENSG00000007202	ENSG00000034677	ENSG00000058063	ENSG00000078668	ENSG00000079785	ENSG00000102879	ENSG00000114867	ENSG00000121858	ENSG00000130204	ENSG00000152684	ENSG00000153310	ENSG00000174437	ENSG00000253729	ENSG00000005486	ENSG00000006576	ENSG00000059804	ENSG00000102580	ENSG00000107968	ENSG00000111790	ENSG00000116560	ENSG00000116679	ENSG00000117500	ENSG00000119013	ENSG00000121064	ENSG00000125629	ENSG00000126246	ENSG00000131966	ENSG00000139514	ENSG00000153814	ENSG00000156531	ENSG00000156787	ENSG00000162923	ENSG00000163823	ENSG00000168918	ENSG00000170340	ENSG00000176624	ENSG00000178573	ENSG00000196517	ENSG00000011590	ENSG00000072364	ENSG00000080822	ENSG00000082641	ENSG00000108798	ENSG00000115165	ENSG00000118564	ENSG00000119138	ENSG00000120686	ENSG00000124151	ENSG00000125505	ENSG00000126264	ENSG00000134262	ENSG00000137331	ENSG00000141127	ENSG00000148248	ENSG00000150687	ENSG00000159479	ENSG00000163568	ENSG00000176018	ENSG00000177432	ENSG00000181852	ENSG00000182831	ENSG00000186350	ENSG00000188811	ENSG00000198625	ENSG00000067167	ENSG00000100906	ENSG00000111537	ENSG00000114446	ENSG00000120875	ENSG00000138378	ENSG00000140105	ENSG00000143891	ENSG00000167604	ENSG00000117724	ENSG00000108518	ENSG00000177721	ENSG00000179409	ENSG00000214078	ENSG00000076382	ENSG00000104880	ENSG00000111801	ENSG00000113328	ENSG00000128284	ENSG00000135821	ENSG00000143515	ENSG00000164111	ENSG00000172005	ENSG00000177030	ENSG00000189067	ENSG00000197694	ENSG00000035403	ENSG00000104518	ENSG00000131747	ENSG00000135426	ENSG00000156299	ENSG00000157456	ENSG00000160932	ENSG00000163840	ENSG00000178209	ENSG00000100092	ENSG00000024048	ENSG00000100304	ENSG00000112667	ENSG00000125347	ENSG00000161513	ENSG00000168300	ENSG00000180628	ENSG00000071054	ENSG00000085063	ENSG00000108622	ENSG00000121957	ENSG00000133606	ENSG00000138180	ENSG00000142347	ENSG00000145287	ENSG00000156587	ENSG00000160767	ENSG00000162191	ENSG00000169683	ENSG00000169926	ENSG00000170906	ENSG00000171476	ENSG00000173757	ENSG00000184357	ENSG00000197061	ENSG00000258289	ENSG00000047410	ENSG00000066279	ENSG00000072571	ENSG00000100030	ENSG00000100162	ENSG00000109220	ENSG00000112984	ENSG00000115523	ENSG00000115548	ENSG00000120437	ENSG00000121152	ENSG00000123080	ENSG00000131238	ENSG00000133639	ENSG00000135473	ENSG00000135842	ENSG00000135926	ENSG00000141510	ENSG00000149311	ENSG00000157800	ENSG00000161888	ENSG00000161920	ENSG00000162654	ENSG00000165071	ENSG00000167136	ENSG00000187837	ENSG00000196230	ENSG00000205220	ENSG00000074800	ENSG00000084733	ENSG00000089127	ENSG00000103145	ENSG00000111674	ENSG00000117650	ENSG00000119537	ENSG00000145386	ENSG00000177156
ENSG00000112237	2	2	0	0	2	0	0	2	2	0	0	2	0	0	1	0	0	2	2	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	1	0	0	3	3	1	1	0	0	0	0	0	0	2	0	2	0	2	0	2	0	0	0	1	0	0	0	2	0	0	2	0	2	0	2	0	2	1	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	2	0	2	2	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	1	0	3	3	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	1	3	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000173011	2	2	2	0	0	1	0	2	2	0	2	2	1	2	1	2	0	2	2	2	2	2	2	2	2	0	0	0	2	0	1	1	0	2	2	2	2	2	1	2	2	2	0	2	2	2	2	2	1	2	0	0	3	3	3	0	3	3	0	3	0	3	3	3	3	0	0	1	0	0	0	3	3	0	3	1	0	0	1	0	0	0	2	2	2	1	0	0	2	0	2	2	2	0	2	0	2	2	2	2	2	2	2	2	0	0	2	2	0	0	0	2	2	2	2	1	0	2	2	0	0	1	0	2	0	2	2	0	0	2	0	1	2	2	2	0	1	2	0	2	0	2	0	0	2	2	2	2	2	2	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	2	2	0	1	0	0	2	0	1	0	2	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	3	3	0	0	0	3	0	3	3	3	1	1	0	3	0	3	0	0	1	3	0	3	3	0	0	0	3	1	3	0	1	0	3	1	0	0	0	0	1	3	3	3	3	0	3	0	1	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	3	3	0	0	3	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000143437	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	2	0	0	0	1	1	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	2	2	2	0	2	0	2	0	0	2	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	3	1	0	0	0	3	0	0	0	0	0	3	0	1	3	0	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0
ENSG00000106546	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	2	0	0	2	2	2	2	0	2	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	3	3	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000119760	2	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	2	2	2	2	0	0	0	2	0	0	0	0	0	2	2	2	2	2	0	2	2	0	0	0	0	0	0	2	1	2	0	0	3	3	0	0	3	0	0	3	0	3	3	3	3	3	0	1	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	2	0	0	2	2	2	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	2	2	2	0	0	2	2	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	2	1	2	0	2	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	3	0	0	0	0	1	0	3	0	0	3	0	0	0	0	0	0	0	1	0	3	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	3	0	0	3	1	0	0	0	0	0	0	0	0
ENSG00000162227	0	2	2	0	0	1	0	2	2	0	2	2	0	2	0	0	0	2	0	2	2	2	0	2	2	0	0	2	2	0	0	0	0	2	2	0	2	0	1	0	2	0	0	0	2	2	0	0	0	0	2	0	3	3	0	3	3	3	1	3	0	3	3	3	3	3	3	1	0	0	0	0	3	3	3	1	0	0	0	0	0	0	2	2	2	0	2	2	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	1	0	2	0	0	1	0	2	2	2	0	0	0	0	2	2	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	3	0	0	3	0	3	0	3	0	0	3	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	3	1	3	0	0	0	0	3	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000123338	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186517	0	2	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005339	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008838	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
