regulator	regulator_ensg	target	target_ensg	direction	lfc_Rest	adjp_Rest	lfc_Stim48	adjp_Stim48	weaker_endpoint_abs_lfc	signed_weaker_endpoint_abs_lfc	display_score_sqrt
CREBBP	ENSG00000005339	NARS1	ENSG00000134440	lost_on_activation	0.1536079298443157	0.015690440695001	-0.1857322721224338	0.030758713253214	0.1536079298443157	-0.1536079298443157	-0.26340114363158934
CREBBP	ENSG00000005339	EIF4EBP1	ENSG00000187840	lost_on_activation	0.4229748788253037	0.0206299945620053	-0.2247839201135889	0.0923653107952523	0.2247839201135889	-0.2247839201135889	-0.31863498531654455
CREBBP	ENSG00000005339	PRKDC	ENSG00000253729	lost_on_activation	0.2070534923706249	0.0693685542611412	-0.1510594703584927	0.0071452622891735	0.1510594703584927	-0.1510594703584927	-0.2612070034075165
MED24	ENSG00000008838	SLC2A3	ENSG00000059804	lost_on_activation	0.2393856737754612	0.0484885067081624	-0.3409057026520606	0.05186433406946	0.2393856737754612	-0.2393856737754612	-0.32882128046031284
MED24	ENSG00000008838	NCOA3	ENSG00000124151	lost_on_activation	0.1897229690177326	0.0558978051537533	-0.1759135207895668	0.0917064599152189	0.1759135207895668	-0.1759135207895668	-0.2818775243226717
MED24	ENSG00000008838	CALM3	ENSG00000160014	gained_on_activation	-0.2567852903024399	0.0020895294973263	0.1487968803185983	0.0442076043754928	0.1487968803185983	0.1487968803185983	0.2592434253216643
WAPL	ENSG00000062650	DDIT4	ENSG00000168209	lost_on_activation	1.075319980672752	0.0464696407366199	-0.5367005512154137	0.0147272778261497	0.5367005512154137	-0.5367005512154137	-0.49235330640707664
WAPL	ENSG00000062650	MTX3	ENSG00000177034	lost_on_activation	1.0149694118696535	0.0052460083924618	-1.0976616598361186	0.0001091127654007	1.0149694118696535	-1.0149694118696535	-0.6770758368273347
WAPL	ENSG00000062650	TUBB	ENSG00000196230	gained_on_activation	-0.8895864386629336	0.0238835883922923	0.3490642279599933	0.0902359388407582	0.3490642279599933	0.3490642279599933	0.3970667401985056
CYB5R4	ENSG00000065615	COTL1	ENSG00000103187	gained_on_activation	-0.331625703044264	0.0859716886451637	0.4129829722379197	0.0057260761303672	0.331625703044264	0.331625703044264	0.3870213557586953
CYB5R4	ENSG00000065615	ANXA5	ENSG00000164111	gained_on_activation	-0.3070390886750402	0.0267838939176523	0.2953384057238349	0.0189807779590314	0.2953384057238349	0.2953384057238349	0.3652336649067758
CBFB	ENSG00000067955	PPP1R16B	ENSG00000101445	lost_on_activation	0.5241818321309744	0.0325788087613362	-0.3592919772741531	0.0441811488157846	0.3592919772741531	-0.3592919772741531	-0.40284186510976483
CBFB	ENSG00000067955	CENPF	ENSG00000117724	gained_on_activation	-0.5939682785518396	0.044366513804693	0.354811094552293	0.0157210239471109	0.354811094552293	0.354811094552293	0.4003219778869982
CBFB	ENSG00000067955	IL2RA	ENSG00000134460	lost_on_activation	2.683368775028389	3.82377968796642e-22	-0.5014075050693492	5.77914263659656e-05	0.5014075050693492	-0.5014075050693492	-0.47588964305931253
CBFB	ENSG00000067955	CEP55	ENSG00000138180	gained_on_activation	-0.5476154726101227	0.056467966910025	0.327387127971701	0.0019609167123586	0.327387127971701	0.327387127971701	0.38454010286577256
CBFB	ENSG00000067955	HMGB2	ENSG00000164104	gained_on_activation	-0.543393284039143	0.0160354666425415	0.1939267168124405	0.0631419211181706	0.1939267168124405	0.1939267168124405	0.2959577115622753
NUP188	ENSG00000095319	ANXA5	ENSG00000164111	gained_on_activation	-0.3393163621049265	0.0033106068093156	0.25154630180589	0.0447479167454979	0.25154630180589	0.25154630180589	0.337069771400859
NUP188	ENSG00000095319	DDIT3	ENSG00000175197	lost_on_activation	0.604513130173362	0.0213585892229985	-0.6272638580784643	0.0882487720830827	0.604513130173362	-0.604513130173362	-0.522532981004959
BTAF1	ENSG00000095564	SLC38A2	ENSG00000134294	lost_on_activation	0.1850202445938164	0.0805292475577305	-0.2718902989437882	0.0034383305818032	0.1850202445938164	-0.1850202445938164	-0.2890816091303802
BTAF1	ENSG00000095564	IER3	ENSG00000137331	lost_on_activation	0.7272556615590611	0.0623742846028738	-0.9614662004584852	0.0001333068138871	0.7272556615590611	-0.7272556615590611	-0.5731316518562017
BTAF1	ENSG00000095564	DDIT4	ENSG00000168209	lost_on_activation	0.6104170481802953	0.0109758674714798	-0.5210205874183103	2.7817187606110475e-05	0.5210205874183103	-0.5210205874183103	-0.4851078251888305
BTAF1	ENSG00000095564	MAP2K1	ENSG00000169032	lost_on_activation	0.1354337532172197	0.0439469281631449	-0.1776199499677509	0.0112585707465369	0.1354337532172197	-0.1354337532172197	-0.24732857491588792
BTAF1	ENSG00000095564	SPSB1	ENSG00000171621	gained_on_activation	-0.5594617373501245	0.0029780188073505	0.5209383440433496	0.0191852233252521	0.5209383440433496	0.5209383440433496	0.4850695364145594
BTAF1	ENSG00000095564	MTX3	ENSG00000177034	lost_on_activation	0.6381274865814658	0.0001029700287178	-0.4809111890438592	0.0019225269307835	0.4809111890438592	-0.4809111890438592	-0.4660615540168132
BTAF1	ENSG00000095564	SPTAN1	ENSG00000197694	gained_on_activation	-0.2218398641558633	0.0011935357603773	0.1964174308054856	0.0156969220745668	0.1964174308054856	0.1964174308054856	0.29785222667942124
BTAF1	ENSG00000095564	CPNE1	ENSG00000214078	gained_on_activation	-0.14561702429323	0.0625999311353161	0.1629092235876524	0.0377391803035175	0.14561702429323	0.14561702429323	0.2564583915129816
MCAT	ENSG00000100294	SNRPB2	ENSG00000125870	lost_on_activation	0.194862828859842	0.0562505270909432	-0.1389569442147654	0.0880806843698175	0.1389569442147654	-0.1389569442147654	-0.25052493932871084
GSS	ENSG00000100983	SPAG5	ENSG00000076382	gained_on_activation	-1.0412180971054508	0.0015668361046756	0.2792622393049712	0.0794746258273516	0.2792622393049712	0.2792622393049712	0.3551541928445735
GSS	ENSG00000100983	UFM1	ENSG00000120686	lost_on_activation	0.2889878358276289	0.0877663616427589	-0.3601242750709856	0.0460517062813059	0.2889878358276289	-0.2889878358276289	-0.36128557296423974
GSS	ENSG00000100983	GPSM2	ENSG00000121957	gained_on_activation	-0.8516506119436569	0.0411361143417769	0.5717957550549597	0.0401473330727181	0.5717957550549597	0.5717957550549597	0.5081960692150739
