display_rank	regulator	regulator_ensg	lost_on_activation	gained_on_activation	total_reversals	out_degree	reversal_rate	fold_vs_degree_decile	p_two_sided	q_two_sided	q_one_sided_enrichment	functional_annotation	functional_annotation_source	all_lost	all_gained	all_total	dense_lost	dense_gained	dense_total
1	CCNC	ENSG00000112237	147	141	288	1304	0.2208588957055214	3.834231179786104	1.1453398297413229e-82	7.066746749503964e-80	7.066746749503964e-80	Mediator	results_data/census/figure_data.json:top_regulators;scripts/fig4_architecture.py:FIG2_CLASS	40	12	52	12	3	15
2	TADA2B	ENSG00000173011	164	104	268	3058	0.0876389797253106	1.453932923268346	8.77012028625622e-09	2.254651756925037e-07	1.6705531822555225e-07	SAGA/co-activator (HAT)	results_data/census/figure_data.json:top_regulators	77	36	113	32	13	45
3	ARNT	ENSG00000143437	105	72	177	922	0.1919739696312364	3.227519786805922	8.125512417584649e-42	1.2533602904124322e-39	1.2533602904124322e-39	bHLH-PAS TF	results_data/census/figure_data.json:top_regulators;scripts/fig4_architecture.py:FIG2_CLASS	23	9	32	6	1	7
4	AHR	ENSG00000106546	99	66	165	727	0.2269601100412654	3.8151753904180503	5.6345589485972185e-49	1.158840957094828e-46	1.158840957094828e-46	bHLH-PAS TF	results_data/census/figure_data.json:top_regulators;scripts/fig4_architecture.py:FIG2_CLASS	13	10	23	1	1	2
5	SUPT7L	ENSG00000119760	94	54	148	1375	0.1076363636363636	1.7740529424912987	6.768048621529738e-11	2.9827757139170352e-09	2.50499074152283e-09	SAGA/co-activator (HAT)	results_data/census/figure_data.json:top_regulators;scripts/fig4_architecture.py:FIG2_CLASS	47	22	69	20	12	32
6	TAF6L	ENSG00000162227	63	66	129	1642	0.0785627283800243	1.2789606482996498	0.0057630704503953	0.0348609261558228	0.0479236754648437	SAGA/co-activator (HAT)	results_data/census/figure_data.json:top_regulators	42	29	71	22	15	37
7	NCKAP1L	ENSG00000123338	72	19	91	244	0.3729508196721312	10.912120538006093	1.074045636569118e-64	3.313430788815729e-62	3.313430788815729e-62	cytoskeletal / immune-synapse	results_data/census/figure_data.json:top_regulators;scripts/fig4_architecture.py:FIG2_CLASS	11	5	16	2	1	3
8	ARHGAP30	ENSG00000186517	38	33	71	362	0.1961325966850828	3.215461110565259	4.661508204283768e-18	3.595188202553855e-16	4.1087865172044063e-16	cytoskeletal / immune-synapse	results_data/census/figure_data.json:top_regulators;scripts/fig4_architecture.py:FIG2_CLASS	5	3	8	3	0	3
9	CREBBP	ENSG00000005339	34	25	59	461	0.1279826464208243	2.0852976292504746	1.5760212352871866e-07	3.353121041973083e-06	3.974851498451289e-06	CBP/p300 (HAT)	results_data/census/figure_data.json:top_regulators	3	0	3	1	0	1
10	MED24	ENSG00000008838	27	30	57	382	0.1492146596858638	2.4336006971298634	8.264446429014961e-10	2.9995079098248424e-08	3.310216229763698e-08	Mediator	results_data/census/figure_data.json:top_regulators;scripts/fig4_architecture.py:FIG2_CLASS	2	1	3	0	1	1
11	EIF4G2	ENSG00000110321	35	20	55	604	0.0910596026490066	1.4772407307293778	0.0048752147054953	0.030693953809088	0.0454491003550654	other (replication/translation/misc)	results_data/census/figure_data.json:top_regulators	5	3	8	1	1	2
12	STAT5B	ENSG00000173757	4	38	42	270	0.1555555555555555	4.121338383838384	2.8744398241061904e-14	1.970588190526133e-12	2.2169117143418993e-12	signalling / activation TF	results_data/census/figure_data.json:top_regulators;scripts/fig4_architecture.py:FIG2_CLASS	0	13	13	0	2	2
13	STIP1	ENSG00000168439	19	22	41	275	0.149090909090909	3.941185770750988	2.5306629312619276e-13	1.5614190285886092e-11	1.7349100317651215e-11	other (replication/translation/misc)	results_data/census/figure_data.json:top_regulators;scripts/fig4_architecture.py:FIG2_CLASS	5	9	14	2	2	4
14	DOCK2	ENSG00000134516	34	6	40	111	0.3603603603603603	9.920810490205508	5.158050740033004e-28	6.365034613200727e-26	6.365034613200727e-26	cytoskeletal / immune-synapse	scripts/fig4_architecture.py:FIG2_CLASS	6	1	7	0	1	1
15	TSC1	ENSG00000165699	13	26	39	336	0.1160714285714285	1.883333534699401	0.0002284272089977	0.0024726243500288	0.0024349772942634	other / unclassified		2	0	2	1	0	1
16	DOLPP1	ENSG00000167130	32	6	38	125	0.304	8.295010600706712	1.4626437192067391e-23	1.5040852912509297e-21	1.5040852912509297e-21	metabolic / mitochondrial	scripts/fig4_architecture.py:FIG2_CLASS	12	2	14	7	0	7
17	STAT3	ENSG00000168610	8	30	38	257	0.1478599221789883	3.891606448026682	2.5291365841566607e-12	1.4186157022042358e-10	1.5604772724246595e-10	signalling / activation TF	scripts/fig4_architecture.py:FIG2_CLASS	1	6	7	0	3	3
18	CBFB	ENSG00000067955	22	12	34	212	0.160377358490566	4.203023796113771	3.636860025092381e-12	1.8699521962349988e-10	2.0399478504381808e-10	signalling / activation TF	scripts/fig4_architecture.py:FIG2_CLASS	2	3	5	2	1	3
