display_rank	target	target_ensg	census_indegree	n_reversals	n_stable	n_lost	n_gained	orientation	dense_tail_member	orientation_rank	r49_reversal_edges	has_r49_reversal_edge
1	DDIT4	ENSG00000168209	32	18	14	18	0	lost_on_activation	True	0	6	True
2	IL2RA	ENSG00000134460	32	11	21	11	0	lost_on_activation	True	0	7	True
3	IL2RB	ENSG00000100385	24	9	15	9	0	lost_on_activation	True	0	3	True
4	CHAC1	ENSG00000128965	10	9	1	9	0	lost_on_activation	True	0	2	True
5	MTX3	ENSG00000177034	16	8	8	8	0	lost_on_activation	True	0	4	True
6	SLC38A2	ENSG00000134294	18	8	10	8	0	lost_on_activation	True	0	2	True
7	MID1IP1	ENSG00000165175	14	7	7	7	0	lost_on_activation	True	0	5	True
8	GPR108	ENSG00000125734	14	7	7	7	0	lost_on_activation	True	0	4	True
9	RANBP9	ENSG00000010017	15	7	8	7	0	lost_on_activation	True	0	3	True
10	DUSP6	ENSG00000139318	11	7	4	7	0	lost_on_activation	True	0	3	True
11	SPRY1	ENSG00000164056	14	7	7	7	0	lost_on_activation	True	0	3	True
12	RELL1	ENSG00000181826	25	7	18	7	0	lost_on_activation	True	0	3	True
13	SLC1A5	ENSG00000105281	25	7	18	7	0	lost_on_activation	True	0	2	True
14	PTPN22	ENSG00000134242	17	7	10	7	0	lost_on_activation	True	0	2	True
15	DDIT3	ENSG00000175197	21	7	14	7	0	lost_on_activation	True	0	2	True
16	TRAF3IP3	ENSG00000009790	21	7	14	7	0	lost_on_activation	True	0	1	True
17	SLC7A11	ENSG00000151012	14	7	7	7	0	lost_on_activation	True	0	1	True
18	SDCBP	ENSG00000137575	12	6	6	6	0	lost_on_activation	True	0	4	True
19	MICAL2	ENSG00000133816	25	6	19	6	0	lost_on_activation	True	0	3	True
20	EDEM1	ENSG00000134109	28	6	22	6	0	lost_on_activation	True	0	3	True
21	SAMSN1	ENSG00000155307	22	6	16	6	0	lost_on_activation	True	0	3	True
22	RAB11FIP1	ENSG00000156675	22	6	16	6	0	lost_on_activation	True	0	3	True
23	BCL2L1	ENSG00000171552	13	6	7	6	0	lost_on_activation	True	0	3	True
24	IL1RAP	ENSG00000196083	9	6	3	6	0	lost_on_activation	True	0	3	True
25	WIPI1	ENSG00000070540	12	6	6	6	0	lost_on_activation	True	0	2	True
26	PMAIP1	ENSG00000141682	12	6	6	6	0	lost_on_activation	True	0	2	True
27	CTLA4	ENSG00000163599	7	6	1	6	0	lost_on_activation	True	0	2	True
28	TRUB1	ENSG00000165832	9	6	3	6	0	lost_on_activation	True	0	2	True
29	MAPRE2	ENSG00000166974	21	6	15	6	0	lost_on_activation	True	0	2	True
30	MAP2K1	ENSG00000169032	20	6	14	6	0	lost_on_activation	True	0	2	True
31	SESN2	ENSG00000130766	11	6	5	6	0	lost_on_activation	True	0	1	True
32	PSAT1	ENSG00000135069	24	6	18	6	0	lost_on_activation	True	0	1	True
33	TRIB3	ENSG00000101255	18	5	13	5	0	lost_on_activation	True	0	4	True
34	STAP1	ENSG00000035720	17	5	12	5	0	lost_on_activation	True	0	3	True
35	CREM	ENSG00000095794	18	5	13	5	0	lost_on_activation	True	0	3	True
36	SUSD6	ENSG00000100647	19	5	14	5	0	lost_on_activation	True	0	3	True
37	CPD	ENSG00000108582	6	5	1	5	0	lost_on_activation	True	0	3	True
38	GNPTAB	ENSG00000111670	25	5	20	5	0	lost_on_activation	True	0	3	True
39	NARS1	ENSG00000134440	23	5	18	5	0	lost_on_activation	True	0	3	True
40	TES	ENSG00000135269	15	5	10	5	0	lost_on_activation	True	0	3	True
41	CREB3L2	ENSG00000182158	16	5	11	5	0	lost_on_activation	True	0	3	True
42	PPP1R16B	ENSG00000101445	12	5	7	5	0	lost_on_activation	True	0	2	True
43	SLC7A5	ENSG00000103257	10	5	5	5	0	lost_on_activation	True	0	2	True
44	TNFSF14	ENSG00000125735	6	5	1	5	0	lost_on_activation	True	0	2	True
45	ADORA2A	ENSG00000128271	15	5	10	5	0	lost_on_activation	True	0	2	True
