display_rank	target	target_ensg	orientation	n_candidate_gpi_products	n_gpi_products	n_rejected_shared_gpi_products	n_gaf_bp_annotated_products	n_direct_go_bp_terms	n_bp_slim_terms_before_hierarchy_pruning	n_bp_slim_terms	identity_mapping	gpi_products	rejected_shared_gpi_products	evidence_codes
1	DDIT4	ENSG00000168209	lost_on_activation	1	1	0	1	11	3	3	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:Q9NX09		IBA|IDA|IEA|IMP|ISS
2	IL2RA	ENSG00000134460	lost_on_activation	1	1	0	1	13	2	2	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:P01589		IBA|IDA|IEA|IMP|NAS|TAS
3	IL2RB	ENSG00000100385	lost_on_activation	1	1	0	1	12	2	2	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:P14784		IBA|IDA|IEA|IMP|NAS|TAS
4	CHAC1	ENSG00000128965	lost_on_activation	3	3	0	1	6	4	4	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:Q9BUX1|UniProtKB:Q9BUX1-1|UniProtKB:Q9BUX1-2		IBA|IEA|IMP|ISS|TAS
5	MTX3	ENSG00000177034	lost_on_activation	5	5	0	1	4	1	1	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:Q5HYI7|UniProtKB:Q5HYI7-1|UniProtKB:Q5HYI7-2|UniProtKB:Q5HYI7-4|UniProtKB:Q5HYI7-5		IBA|IC|IEA
6	SLC38A2	ENSG00000134294	lost_on_activation	3	3	0	1	28	2	2	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:Q96QD8|UniProtKB:Q96QD8-1|UniProtKB:Q96QD8-2		IBA|IDA|IEA|IMP|IPI|ISS|NAS|TAS
7	MID1IP1	ENSG00000165175	lost_on_activation	1	1	0	1	5	1	1	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:Q9NPA3		IBA|IEA|ISS
8	GPR108	ENSG00000125734	lost_on_activation	1	1	0	1	2	0	0	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:Q9NPR9		IBA|ISS
9	RANBP9	ENSG00000010017	lost_on_activation	4	4	0	1	6	3	2	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:Q96S59|UniProtKB:Q96S59-1|UniProtKB:Q96S59-2|UniProtKB:Q96S59-3		IBA|IMP|ISS|NAS|TAS
10	DUSP6	ENSG00000139318	lost_on_activation	3	3	0	1	12	3	2	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:Q16828|UniProtKB:Q16828-1|UniProtKB:Q16828-2		IBA|IDA|IEA|IEP|IMP|TAS
11	SPRY1	ENSG00000164056	lost_on_activation	1	1	0	1	11	0	0	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:O43609		IBA|IEA|IMP|ISS
12	RELL1	ENSG00000181826	lost_on_activation	1	1	0	1	1	0	0	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:Q8IUW5		IBA|IDA|IEA
13	SLC1A5	ENSG00000105281	lost_on_activation	4	4	0	1	13	3	3	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:Q15758|UniProtKB:Q15758-1|UniProtKB:Q15758-2|UniProtKB:Q15758-3		IBA|IDA|IEA|IMP|ISS|NAS|TAS
14	PTPN22	ENSG00000134242	lost_on_activation	7	7	0	1	29	3	3	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:Q9Y2R2|UniProtKB:Q9Y2R2-1|UniProtKB:Q9Y2R2-2|UniProtKB:Q9Y2R2-3|UniProtKB:Q9Y2R2-4|UniProtKB:Q9Y2R2-5|UniProtKB:Q9Y2R2-6		IBA|IC|IDA|IEA|IMP|ISS|NAS|TAS
15	DDIT3	ENSG00000175197	lost_on_activation	4	4	0	1	45	8	7	Ensembl target ENSG -> GPI UniProt product -> GAF annotation	UniProtKB:P0DPQ6|UniProtKB:P35638|UniProtKB:P35638-1|UniProtKB:P35638-2		EXP|IBA|IDA|IEA|IGI|IMP|ISS|NAS|TAS
