display_rank	target	target_ensg	orientation	go_id	go_term
1	DDIT4	ENSG00000168209	lost_on_activation	GO:0048870	cell motility
1	DDIT4	ENSG00000168209	lost_on_activation	GO:0012501	programmed cell death
1	DDIT4	ENSG00000168209	lost_on_activation	GO:0023052	signaling
2	IL2RA	ENSG00000134460	lost_on_activation	GO:0012501	programmed cell death
2	IL2RA	ENSG00000134460	lost_on_activation	GO:0023052	signaling
3	IL2RB	ENSG00000100385	lost_on_activation	GO:0022607	cellular component assembly
3	IL2RB	ENSG00000100385	lost_on_activation	GO:0023052	signaling
4	CHAC1	ENSG00000128965	lost_on_activation	GO:0008152	metabolic process
4	CHAC1	ENSG00000128965	lost_on_activation	GO:0012501	programmed cell death
4	CHAC1	ENSG00000128965	lost_on_activation	GO:0010468	regulation of gene expression
4	CHAC1	ENSG00000128965	lost_on_activation	GO:0023052	signaling
5	MTX3	ENSG00000177034	lost_on_activation	GO:0022607	cellular component assembly
6	SLC38A2	ENSG00000134294	lost_on_activation	GO:0010468	regulation of gene expression
6	SLC38A2	ENSG00000134294	lost_on_activation	GO:0055085	transmembrane transport
7	MID1IP1	ENSG00000165175	lost_on_activation	GO:0022607	cellular component assembly
9	RANBP9	ENSG00000010017	lost_on_activation	GO:0022607	cellular component assembly
9	RANBP9	ENSG00000010017	lost_on_activation	GO:0044238	primary metabolic process
10	DUSP6	ENSG00000139318	lost_on_activation	GO:0044238	primary metabolic process
10	DUSP6	ENSG00000139318	lost_on_activation	GO:0023052	signaling
13	SLC1A5	ENSG00000105281	lost_on_activation	GO:0022607	cellular component assembly
13	SLC1A5	ENSG00000105281	lost_on_activation	GO:0019725	cellular homeostasis
13	SLC1A5	ENSG00000105281	lost_on_activation	GO:0055085	transmembrane transport
14	PTPN22	ENSG00000134242	lost_on_activation	GO:0008152	metabolic process
14	PTPN22	ENSG00000134242	lost_on_activation	GO:0010468	regulation of gene expression
14	PTPN22	ENSG00000134242	lost_on_activation	GO:0023052	signaling
15	DDIT3	ENSG00000175197	lost_on_activation	GO:0048870	cell motility
15	DDIT3	ENSG00000175197	lost_on_activation	GO:0019725	cellular homeostasis
15	DDIT3	ENSG00000175197	lost_on_activation	GO:0044238	primary metabolic process
15	DDIT3	ENSG00000175197	lost_on_activation	GO:0012501	programmed cell death
15	DDIT3	ENSG00000175197	lost_on_activation	GO:0010468	regulation of gene expression
15	DDIT3	ENSG00000175197	lost_on_activation	GO:0023052	signaling
15	DDIT3	ENSG00000175197	lost_on_activation	GO:0055085	transmembrane transport
16	TRAF3IP3	ENSG00000009790	lost_on_activation	GO:0010468	regulation of gene expression
16	TRAF3IP3	ENSG00000009790	lost_on_activation	GO:0023052	signaling
17	SLC7A11	ENSG00000151012	lost_on_activation	GO:0019725	cellular homeostasis
17	SLC7A11	ENSG00000151012	lost_on_activation	GO:0055085	transmembrane transport
18	SDCBP	ENSG00000137575	lost_on_activation	GO:0048870	cell motility
18	SDCBP	ENSG00000137575	lost_on_activation	GO:0022607	cellular component assembly
18	SDCBP	ENSG00000137575	lost_on_activation	GO:0010468	regulation of gene expression
18	SDCBP	ENSG00000137575	lost_on_activation	GO:0023052	signaling
19	MICAL2	ENSG00000133816	lost_on_activation	GO:0008152	metabolic process
19	MICAL2	ENSG00000133816	lost_on_activation	GO:0010468	regulation of gene expression
20	EDEM1	ENSG00000134109	lost_on_activation	GO:0044238	primary metabolic process
22	RAB11FIP1	ENSG00000156675	lost_on_activation	GO:0016192	vesicle-mediated transport
23	BCL2L1	ENSG00000171552	lost_on_activation	GO:0012501	programmed cell death
23	BCL2L1	ENSG00000171552	lost_on_activation	GO:0023052	signaling
23	BCL2L1	ENSG00000171552	lost_on_activation	GO:0055085	transmembrane transport
24	IL1RAP	ENSG00000196083	lost_on_activation	GO:0007155	cell adhesion
24	IL1RAP	ENSG00000196083	lost_on_activation	GO:0022607	cellular component assembly
