regulator_ensg	ENSG00000168209	ENSG00000134460	ENSG00000100385	ENSG00000128965	ENSG00000177034	ENSG00000134294	ENSG00000165175	ENSG00000125734	ENSG00000010017	ENSG00000139318	ENSG00000164056	ENSG00000181826	ENSG00000105281	ENSG00000134242	ENSG00000175197	ENSG00000009790	ENSG00000151012	ENSG00000137575	ENSG00000133816	ENSG00000134109	ENSG00000155307	ENSG00000156675	ENSG00000171552	ENSG00000196083	ENSG00000070540	ENSG00000141682	ENSG00000163599	ENSG00000165832	ENSG00000166974	ENSG00000169032	ENSG00000130766	ENSG00000135069	ENSG00000101255	ENSG00000035720	ENSG00000095794	ENSG00000100647	ENSG00000108582	ENSG00000111670	ENSG00000134440	ENSG00000135269	ENSG00000182158	ENSG00000101445	ENSG00000103257	ENSG00000125735	ENSG00000128271	ENSG00000129226	ENSG00000143878	ENSG00000164674	ENSG00000186480	ENSG00000196937	ENSG00000198431	ENSG00000106723	ENSG00000104964	ENSG00000153179	ENSG00000140511	ENSG00000132274	ENSG00000178802	ENSG00000135722	ENSG00000160014	ENSG00000100911	ENSG00000103187	ENSG00000171621	ENSG00000126353	ENSG00000168394	ENSG00000181026	ENSG00000189057	ENSG00000064666	ENSG00000111348	ENSG00000137804	ENSG00000188486	ENSG00000101224	ENSG00000197747	ENSG00000240065	ENSG00000087088	ENSG00000131370	ENSG00000164104	ENSG00000140525	ENSG00000146918	ENSG00000169189	ENSG00000196776
ENSG00000112237	-0.4966290500854009	-0.39064474407744587			-0.373987599372124			-0.2923571837167926	-0.23148804322957978			-0.2906287497847093						-0.30786485177143014	-0.5299495648460387				-0.407100686654504				-0.5410196317587739									-0.3113652316700371		-0.3045864180823369																						0.25679207936718784													0.27985994153253546	0.3299838724055467						
ENSG00000173011	-0.47845829294156006	-0.35184077595240654	-0.48340162897124683					-0.28393094056687906	-0.30230962173156006		-0.4241242586311815	-0.33341269628349335		-0.26008122129363115		-0.22025979323292652		-0.2928542529196307	-0.36788760160039413	-0.21592825649718478	-0.4724274937266697	-0.30517696776543146	-0.389525832125386	-0.4150273878438826	-0.35140114788137494				-0.2974417662406597					-0.5149439615330668	-0.39244611926273204	-0.32078225371137	-0.3523167439760433	-0.32320838832406257		-0.32268624615722036	-0.33434277640505894	-0.3001998172355953		-0.5306035690236014	-0.437181970148236	-0.5458274435616546	-0.6359266084149835	-0.35477594939273405		-0.44156364801807424			0.2294137900584818	0.37116829511287436	0.33960823559455616		0.31328164821579974	0.41392920336656946		0.3462869281374799		0.5901635451651924	0.7439166474844158	0.33174732753796393	0.3960673056797834							0.2604654986302623	0.3050749173073985		0.41720901891443374					
ENSG00000143437		-0.30131577934931225								-0.43849093122351845																	-0.43581313632790447			-0.21577599006754436										-0.24210957455767923				-0.4691070666901212																											0.3451284120606579									
ENSG00000106546										-0.4494376935681266																																											0.2621115958858663																											
ENSG00000119760	-0.3905213506709304	-0.32448056664641445			-0.39936751577290275			-0.3011909800164433			-0.5353929481706412							-0.4016021807438094			-0.4146837436335458	-0.2890006290414328	-0.31765993307139634	-0.39305159884007557				-0.2560651670236091						-0.4849356258790659	-0.3737559631644509	-0.28477036970328085	-0.34791772800874987	-0.2715532429143677		-0.2435445317034508	-0.3490056984495174							-0.29664091912720675		-0.3759936923506385			0.2499541189424048	0.3002466139119408			0.2680498376562977			0.3208911303513601		0.4732558153431353	0.6620212109949377	0.2839729258909938	0.37653437761065844	0.40450847029798914							0.293216186237085	0.3135499601799525	0.30377660878617374					
ENSG00000162227		-0.32799004005244337	-0.4178185841190117					-0.3200426645520042	-0.34495896101468054		-0.42286751080407187	-0.2809228118230975		-0.2828615377092203				-0.3774215900762551		-0.2759607498509374	-0.39746624246819073	-0.3537159220021381		-0.3938797582094929	-0.31325269184791255			-0.3987694516163377	-0.25903702724651984					-0.5690504053863725	-0.34460662730780783		-0.3818101229822235				-0.323180845252046				-0.4450329996153658	-0.4177961491661788					-0.2646694711373448		0.32359393349575183	0.3163128380050246		0.4481864195491733	0.2760509239051262	0.42200082533730554		0.31060476630931066		0.4574569224767196	0.7278152140187314	0.36043975367890907	0.38433156543767716	0.4387703988029686	0.29380506605443724						0.28583457666309503	0.37661360413910316	0.4315217744514196					
ENSG00000123338										-0.4056156763153019																																							-0.4541035077261664									0.4210646964747986																						
ENSG00000186517		-0.3482749443169529	-0.34322093327262226																																														-0.36480002098391234																															
ENSG00000005339																																							-0.26340114363158934																																									
ENSG00000008838																																																											0.2592434253216643																					
