display_order	library	evidence_tier	term	display_label	n_members_in_universe	n_lost	n_gained	n_mixed	n_no_reversal	lost_share	gained_share	mixed_share	no_reversal_share	network_null_normalised_es	bh_q_within_library	global_familywise_stable
1	KEGG_Legacy	repeatable within-library FDR q<0.10; not global maxT	Cytokine Cytokine Receptor Interaction	Cytokine-receptor interaction	120	26	17	4	73	0.21666666666666667	0.14166666666666666	0.03333333333333333	0.6083333333333333	1.7257	0.042	False
2	KEGG_Legacy	repeatable within-library FDR q<0.10; not global maxT	Proteasome	Proteasome	36	7	12	1	16	0.19444444444444445	0.3333333333333333	0.027777777777777776	0.4444444444444444	1.9338	0.0609	False
3	KEGG_Legacy	repeatable within-library FDR q<0.10; not global maxT	Apoptosis	Apoptosis	73	16	12	3	42	0.2191780821917808	0.1643835616438356	0.0410958904109589	0.5753424657534246	1.6984	0.0609	False
4	KEGG_Legacy	repeatable within-library FDR q<0.10; not global maxT	Antigen Processing And Presentation	Antigen presentation	32	4	8	5	15	0.125	0.25	0.15625	0.46875	2.0474	0.0609	False
5	KEGG_Legacy	repeatable within-library FDR q<0.10; not global maxT	Jak Stat Signaling Pathway	JAK-STAT signalling	89	18	14	3	54	0.20224719101123595	0.15730337078651685	0.033707865168539325	0.6067415730337079	1.7458	0.0609	False
6	KEGG_Legacy	repeatable within-library FDR q<0.10; not global maxT	Prion Diseases	Prion diseases	17	4	2	3	8	0.23529411764705882	0.11764705882352941	0.17647058823529413	0.47058823529411764	2.2739	0.0609	False
7	KEGG_Legacy	repeatable within-library FDR q<0.10; not global maxT	Thyroid Cancer	Thyroid cancer	20	4	7	1	8	0.2	0.35	0.05	0.4	2.1971	0.0609	False
8	KEGG_Legacy	repeatable within-library FDR q<0.10; not global maxT	Chronic Myeloid Leukemia	Chronic myeloid leukaemia	62	12	15	3	32	0.1935483870967742	0.24193548387096775	0.04838709677419355	0.5161290322580645	1.7621	0.0609	False
9	KEGG_Legacy	repeatable within-library FDR q<0.10; not global maxT	P53 Signaling Pathway	p53 signalling	58	10	20	1	27	0.1724137931034483	0.3448275862068966	0.017241379310344827	0.46551724137931033	1.7971	0.0681	False
10	GO_Biological_Process	bank-stable global maxT	Apoptotic Process	Apoptotic process	163	30	27	9	97	0.18404907975460122	0.1656441717791411	0.05521472392638037	0.5950920245398773	2.0428	0.011	True
11	GO_Biological_Process	bank-stable global maxT	Organelle Organization	Organelle organisation	286	34	41	13	198	0.11888111888111888	0.14335664335664336	0.045454545454545456	0.6923076923076923	1.5195	0.011	True
12	GO_Biological_Process	bank-stable global maxT	Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress	ER-stress intrinsic apoptosis	22	8	4	2	8	0.36363636363636365	0.18181818181818182	0.09090909090909091	0.36363636363636365	2.4769	0.011	True
13	GO_Biological_Process	bank-stable global maxT	Cellular Response To Lipopolysaccharide	Response to LPS	69	13	7	8	41	0.18840579710144928	0.10144927536231885	0.11594202898550725	0.5942028985507246	2.0222	0.011	True
14	GO_Biological_Process	bank-stable global maxT	Cellular Response To Cytokine Stimulus	Response to cytokine	160	33	25	9	93	0.20625	0.15625	0.05625	0.58125	1.7961	0.011	True
15	GO_Biological_Process	bank-stable global maxT	Intrinsic Apoptotic Signaling Pathway	Intrinsic apoptotic signalling	82	19	13	7	43	0.23170731707317074	0.15853658536585366	0.08536585365853659	0.524390243902439	2.1	0.011	True
16	GO_Biological_Process	bank-stable global maxT	Mitotic Cytokinesis	Mitotic cytokinesis	51	3	15	2	31	0.058823529411764705	0.29411764705882354	0.0392156862745098	0.6078431372549019	2.0555	0.0135	True
17	GO_Biological_Process	bank-stable global maxT	Regulation Of Type II Interferon Production	Type II IFN regulation	53	9	8	5	31	0.16981132075471697	0.1509433962264151	0.09433962264150944	0.5849056603773585	2.1573	0.0182	True
18	GO_Biological_Process	bank-stable global maxT	Positive Regulation Of Apoptotic Process	Positive apoptosis regulation	183	29	26	11	117	0.15846994535519127	0.14207650273224043	0.060109289617486336	0.639344262295082	1.709	0.0182	True
19	GO_Biological_Process	bank-stable global maxT	Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process	Proteasomal protein turnover	260	42	31	3	184	0.16153846153846155	0.11923076923076924	0.011538461538461539	0.7076923076923077	1.5239	0.0251	True
