display_rank,target,target_ensg,direction,program_annotation,program_annotation_source,CCNC_regulator_ensg,CCNC_lfc_Rest,CCNC_lfc_Stim48,TADA2B_regulator_ensg,TADA2B_lfc_Rest,TADA2B_lfc_Stim48,SUPT7L_regulator_ensg,SUPT7L_lfc_Rest,SUPT7L_lfc_Stim48
1,ATP11B,ENSG00000058063,lost_on_activation,unclassified,,ENSG00000112237,0.0908708227034513,-0.1144918249279963,ENSG00000173011,0.0713587950385972,-0.1074756252233364,ENSG00000119760,0.1130974088885182,-0.1294761408556464
2,BCL2L1,ENSG00000171552,lost_on_activation,stress_survival|tcr_cytokine_signalling,results_data/census/fig3_biological_bridge/all49_target_programme_memberships.csv,ENSG00000112237,0.4980971910059874,-0.3669289630584955,ENSG00000173011,0.3481692570640839,-0.3359315948486184,ENSG00000119760,0.2969941880494205,-0.2234103062504264
3,DDIT4,ENSG00000168209,lost_on_activation,stress_survival,results_data/census/fig3_biological_bridge/all49_target_programme_memberships.csv,ENSG00000112237,0.6730151714836544,-0.5460627644814249,ENSG00000173011,0.5068348818771276,-0.985364809858215,ENSG00000119760,0.4588082885707802,-0.3376508825296392
4,GNPTAB,ENSG00000111670,lost_on_activation,unclassified,,ENSG00000112237,0.222429647014743,-0.2053995042655285,ENSG00000173011,0.3785758663767988,-0.2312829249285422,ENSG00000119760,0.3820448925254098,-0.1632632023812244
5,GPR108,ENSG00000125734,lost_on_activation,unclassified,,ENSG00000112237,0.1892369165998356,-0.3477011848928716,ENSG00000173011,0.1784858393869847,-0.347350421025227,ENSG00000119760,0.2574823907922081,-0.2008455653334075
6,IL2RA,ENSG00000134460,lost_on_activation,synapse_trafficking|tcr_cytokine_signalling,results_data/census/fig3_biological_bridge/all49_target_programme_memberships.csv,ENSG00000112237,0.6038051095780468,-0.3378642919876716,ENSG00000173011,1.128354890823424,-0.2740757829330112,ENSG00000119760,0.5334737699682861,-0.2331072104270919
7,RBKS,ENSG00000171174,lost_on_activation,unclassified,,ENSG00000112237,0.551196175534346,-0.599011333500958,ENSG00000173011,0.5965939110432986,-0.3904590172858712,ENSG00000119760,0.5162610012150506,-0.5239759204357027
8,RNF19A,ENSG00000034677,lost_on_activation,unclassified,,ENSG00000112237,0.3892250750100806,-0.3300096922562237,ENSG00000173011,0.3154684227520578,-0.3681922776091096,ENSG00000119760,0.2356561425410061,-0.4152256753562227
9,SDCBP,ENSG00000137575,lost_on_activation,unclassified,,ENSG00000112237,0.2098449597642545,-0.3020540466868275,ENSG00000173011,0.1898809493978277,-0.4766868180740435,ENSG00000119760,0.4136700471882688,-0.3570840473294936
10,SRGN,ENSG00000122862,lost_on_activation,unclassified,,ENSG00000112237,0.2932260788478254,-0.2112338019826685,ENSG00000173011,0.5319840921606463,-0.1996561753131945,ENSG00000119760,0.2298307053189544,-0.3547920193817138
11,SUSD6,ENSG00000100647,lost_on_activation,unclassified,,ENSG00000112237,0.2146439023273521,-0.3887563708460566,ENSG00000173011,0.517318440299028,-0.2278237480124478,ENSG00000119760,0.2724777581173489,-0.1795427702798973
12,GEMIN4,ENSG00000179409,gained_on_activation,unclassified,,ENSG00000112237,-0.4140745254045163,0.1859264953725559,ENSG00000173011,-0.3143135170337129,0.1906670763775448,ENSG00000119760,-0.3030973398089126,0.2100832030757833
13,PSMB9,ENSG00000240065,gained_on_activation,antigen_processing_proteasome,results_data/census/fig3_biological_bridge/all49_target_programme_memberships.csv,ENSG00000112237,-0.1734042757214566,0.1969754827682277,ENSG00000173011,-0.206058876804299,0.419667492279973,ENSG00000119760,-0.19035058034073,0.2180016582571629
14,PSME1,ENSG00000092010,gained_on_activation,antigen_processing_proteasome,results_data/census/fig3_biological_bridge/all49_target_programme_memberships.csv,ENSG00000112237,-0.1891933058388526,0.1895715639079535,ENSG00000173011,-0.238028329160862,0.2584944146417182,ENSG00000119760,-0.1510596265922517,0.2315951271896097
15,PSME2,ENSG00000100911,gained_on_activation,antigen_processing_proteasome,results_data/census/fig3_biological_bridge/all49_target_programme_memberships.csv,ENSG00000112237,-0.3881982356660221,0.145996206613244,ENSG00000173011,-0.3740568373501177,0.265491437770876,ENSG00000119760,-0.2507947438474748,0.2279784254821827
16,TTLL12,ENSG00000100304,gained_on_activation,unclassified,,ENSG00000112237,-0.2588081286383023,0.3435108689152883,ENSG00000173011,-0.2465522506640447,0.2169613196111879,ENSG00000119760,-0.2206543293335414,0.1811133665324558
