display_rank,target,target_ensg,direction,program_annotation,program_annotation_source,AHR_regulator_ensg,AHR_lfc_Rest,AHR_lfc_Stim48,ARNT_regulator_ensg,ARNT_lfc_Rest,ARNT_lfc_Stim48
1,CORO1A,ENSG00000102879,lost_on_activation,unclassified,,ENSG00000106546,0.1440278769476057,-0.1907037395061195,ENSG00000143437,0.0894810187013214,-0.1970008560389516
2,DDX1,ENSG00000079785,lost_on_activation,unclassified,,ENSG00000106546,0.262047493231292,-0.1633697998210675,ENSG00000143437,0.1990924307158819,-0.134591468432378
3,DUSP6,ENSG00000139318,lost_on_activation,unclassified,,ENSG00000106546,1.58037547409462,-0.4472159765164497,ENSG00000143437,1.7651300522439493,-0.4256959862651729
4,IVNS1ABP,ENSG00000116679,lost_on_activation,unclassified,,ENSG00000106546,0.4413488164642515,-0.298633129800773,ENSG00000143437,0.549203527276134,-0.2518041263466481
5,LTN1,ENSG00000198862,lost_on_activation,unclassified,,ENSG00000106546,0.1477058646473919,-0.1709846495984199,ENSG00000143437,0.1463046590377354,-0.2502949290664854
6,PFKP,ENSG00000067057,lost_on_activation,metabolism_mitochondria,results_data/census/fig3_biological_bridge/all49_target_programme_memberships.csv,ENSG00000106546,0.2317468133225514,-0.1302407702237418,ENSG00000143437,0.2731443810286816,-0.777673068532795
7,PTBP1,ENSG00000011304,lost_on_activation,unclassified,,ENSG00000106546,0.2093923016472556,-0.1519861531450024,ENSG00000143437,0.2071161987741234,-0.1185997871864538
8,SNRPB2,ENSG00000125870,lost_on_activation,unclassified,,ENSG00000106546,0.1307069658851652,-0.1961838918219942,ENSG00000143437,0.1253959545233114,-0.1151230585622898
9,STIP1,ENSG00000168439,lost_on_activation,unclassified,,ENSG00000106546,0.2790251977428974,-0.1937198970489866,ENSG00000143437,0.2143385203603139,-0.1888223822538935
10,VDAC3,ENSG00000078668,lost_on_activation,unclassified,,ENSG00000106546,0.1491436098280906,-0.1268551789377532,ENSG00000143437,0.1481574557578681,-0.4037323482552061
11,ACVR1,ENSG00000115170,gained_on_activation,tcr_cytokine_signalling,results_data/census/fig3_biological_bridge/all49_target_programme_memberships.csv,ENSG00000106546,-0.3597868344265943,0.3795359344649245,ENSG00000143437,-0.3088684097614956,0.2745354277538462
12,CAMK4,ENSG00000152495,gained_on_activation,unclassified,,ENSG00000106546,-0.2628993843795476,0.3377894473251516,ENSG00000143437,-0.2469030093210968,0.4194119604171433
13,MKRN1,ENSG00000133606,gained_on_activation,unclassified,,ENSG00000106546,-0.3063309676407073,0.3443416887043964,ENSG00000143437,-0.2955845656866191,0.2510312554699236
14,NPC2,ENSG00000119655,gained_on_activation,unclassified,,ENSG00000106546,-0.2422695675922168,0.2362431191287747,ENSG00000143437,-0.2670498418246315,0.2797648777786992
15,PCGF5,ENSG00000180628,gained_on_activation,unclassified,,ENSG00000106546,-0.2802904146537387,0.191176838168004,ENSG00000143437,-0.2563194685575192,0.2329881460099343
16,RAB5B,ENSG00000111540,gained_on_activation,synapse_trafficking,results_data/census/fig3_biological_bridge/all49_target_programme_memberships.csv,ENSG00000106546,-0.1734359729326634,0.2200770866847067,ENSG00000143437,-0.207564787591833,0.2566896653585432
17,STAT5B,ENSG00000173757,gained_on_activation,synapse_trafficking|tcr_cytokine_signalling,results_data/census/fig3_biological_bridge/all49_target_programme_memberships.csv,ENSG00000106546,-0.1298111007261743,0.2433405691205925,ENSG00000143437,-0.1505009462576854,0.2740404815821356
