regulator,n_rev,n_stable,rev_flip,rev_flip_rate,stable_flip,stable_flip_rate,or_haldane
BPTF,1,39,0,0.0,5,0.1282051282051282,2.090909090909091
NFKB2,1,183,1,1.0,20,0.1092896174863388,23.926829268292682
ATXN7L3,3,101,0,0.0,51,0.504950495049505,0.14008321775312066
FOXO1,10,216,6,0.6,98,0.4537037037037037,1.7377326565143825
MYB,10,397,6,0.6,75,0.1889168765743073,6.169977924944813
BATF,12,68,7,0.5833333333333334,14,0.20588235294117646,5.12539184952978
USP22,18,572,7,0.3888888888888889,146,0.25524475524475526,1.8986496512835733
CBFB,34,177,19,0.5588235294117647,29,0.1638418079096045,6.332968835429196
STAT5B,42,228,19,0.4523809523809524,49,0.2149122807017544,3.0090264345583493
MED12,53,951,23,0.4339622641509434,138,0.14511041009463724,4.52559625969107
MED24,57,324,28,0.49122807017543857,90,0.2777777777777778,2.503324281299747
