regulator_order_top_to_bottom	landmark_order_left_to_right	regulator	target	cell_state	eligible_both_endpoints	is_reversal	orientation	response_shape	response_shape_supported	response_analysis_status	regulator_landmark_reversal_burden	target_landmark_reversal_burden
1	1	TADA2B	GZMA	outside_both_endpoint_census	False	False		not_applicable	False		5	5
1	2	TADA2B	GZMB	outside_both_endpoint_census	False	False		not_applicable	False		5	0
1	3	TADA2B	GNLY	comparable_not_reversed	True	False		not_applicable	False		5	3
1	4	TADA2B	PRF1	outside_both_endpoint_census	False	False		not_applicable	False		5	0
1	5	TADA2B	IFNG	outside_both_endpoint_census	False	False		not_applicable	False		5	3
1	6	TADA2B	TNF	comparable_not_reversed	True	False		not_applicable	False		5	0
1	7	TADA2B	NKG7	comparable_not_reversed	True	False		not_applicable	False		5	2
1	8	TADA2B	CCL5	comparable_not_reversed	True	False		not_applicable	False		5	4
1	9	TADA2B	CCL4	outside_both_endpoint_census	False	False		not_applicable	False		5	1
1	10	TADA2B	CCL3	outside_both_endpoint_census	False	False		not_applicable	False		5	1
1	11	TADA2B	CCR5	comparable_not_reversed	True	False		not_applicable	False		5	4
1	12	TADA2B	CCR1	reversal_lost	True	True	lost	unresolved	False	UNANALYSABLE_POSITIVE_INTENSITY	5	3
1	13	TADA2B	CCR7	reversal_gained	True	True	gained	unresolved	False	UNANALYSABLE_POSITIVE_INTENSITY	5	6
1	14	TADA2B	CCR2	comparable_not_reversed	True	False		not_applicable	False		5	0
1	15	TADA2B	IL2	outside_both_endpoint_census	False	False		not_applicable	False		5	2
1	16	TADA2B	IL2RA	reversal_lost	True	True	lost	intensity-dominant	True	ESTIMATED_CONTINUOUS_COMPONENTS	5	11
1	17	TADA2B	IL2RB	reversal_lost	True	True	lost	intensity-dominant	True	ESTIMATED_CONTINUOUS_COMPONENTS	5	9
1	18	TADA2B	CD69	reversal_lost	True	True	lost	detection-dominant	True	ESTIMATED_CONTINUOUS_COMPONENTS	5	9
1	19	TADA2B	CTLA4	outside_both_endpoint_census	False	False		not_applicable	False		5	6
1	20	TADA2B	IL2RG	outside_both_endpoint_census	False	False		not_applicable	False		5	0
1	21	TADA2B	SELL	outside_both_endpoint_census	False	False		not_applicable	False		5	0
1	22	TADA2B	TBX21	outside_both_endpoint_census	False	False		not_applicable	False		5	1
1	23	TADA2B	KLRB1	outside_both_endpoint_census	False	False		not_applicable	False		5	0
1	24	TADA2B	XCL1	outside_both_endpoint_census	False	False		not_applicable	False		5	0
1	25	TADA2B	XCL2	outside_both_endpoint_census	False	False		not_applicable	False		5	0
2	1	CCNC	GZMA	outside_both_endpoint_census	False	False		not_applicable	False		4	5
2	2	CCNC	GZMB	outside_both_endpoint_census	False	False		not_applicable	False		4	0
2	3	CCNC	GNLY	outside_both_endpoint_census	False	False		not_applicable	False		4	3
2	4	CCNC	PRF1	outside_both_endpoint_census	False	False		not_applicable	False		4	0
2	5	CCNC	IFNG	outside_both_endpoint_census	False	False		not_applicable	False		4	3
