regulator,n_res,late_frac
AHR,27,0.3333333333333333
ARNT,58,0.5517241379310345
ATAD5,32,0.6875
ATP2A2,27,0.6666666666666666
BRD8,5,0.8
BTAF1,6,0.6666666666666666
CBFB,10,0.4
CCNC,61,0.6721311475409836
CPSF6,7,0.5714285714285714
CREBBP,18,0.3888888888888889
DENR,9,0.8888888888888888
DHX36,16,1.0
DOLPP1,30,0.9666666666666667
EIF4G2,15,0.3333333333333333
ELOB,9,0.3333333333333333
ELOF1,22,0.6818181818181818
GATA3,5,0.2
KDM1A,9,0.8888888888888888
LCK,6,0.0
LEO1,18,0.6111111111111112
MED12,27,0.7777777777777778
MED15,15,0.7333333333333333
MED19,7,0.8571428571428571
MED24,24,0.625
MEN1,6,0.6666666666666666
METTL1,5,1.0
NAA30,5,1.0
NCKAP1L,18,0.3333333333333333
NCOR1,14,0.5
NFRKB,5,0.2
NSD1,5,0.8
PPP1R11,6,1.0
SENP5,28,0.6428571428571429
SGF29,60,0.6833333333333333
SMARCB1,7,0.0
SMARCE1,16,0.125
STAT3,5,0.0
STAT5B,10,0.9
STIP1,5,0.8
SUPT20H,46,0.5869565217391305
SUPT7L,83,0.8795180722891566
TADA1,39,0.7435897435897436
TADA2B,165,0.6121212121212121
TAF13,15,0.7333333333333333
TAF6L,55,0.6
TMED9,7,0.5714285714285714
UBE2L3,6,0.5
UBXN1,6,0.6666666666666666
UFM1,7,1.0
WAC,6,0.3333333333333333
