regulator_ensg	regulator	lost_n_resolved	lost_n_rest_sign_retaining	lost_rest_sign_retaining_fraction	gained_n_resolved	gained_n_rest_sign_retaining	gained_rest_sign_retaining_fraction	lost_minus_gained_fraction	lost_minus_gained_exact_fraction
ENSG00000004487	KDM1A	7	7	1.0	2	1	0.5	0.5	1/2
ENSG00000004961	HCCS	3	3	1.0	1	1	1.0	0.0	0/1
ENSG00000005339	CREBBP	7	5	0.7142857142857143	11	2	0.18181818181818182	0.5324675324675324	41/77
ENSG00000005483	KMT2E	1	1	1.0	1	1	1.0	0.0	0/1
ENSG00000008838	MED24	7	6	0.8571428571428571	17	9	0.5294117647058824	0.3277310924369748	39/119
ENSG00000037897	METTL1	4	4	1.0	1	1	1.0	0.0	0/1
ENSG00000064995	TAF11	1	1	1.0	3	1	0.3333333333333333	0.6666666666666666	2/3
ENSG00000065615	CYB5R4	1	1	1.0	3	2	0.6666666666666666	0.3333333333333333	1/3
ENSG00000067955	CBFB	8	4	0.5	2	0	0.0	0.5	1/2
ENSG00000073584	SMARCE1	5	0	0.0	11	2	0.18181818181818182	-0.18181818181818182	-2/11
ENSG00000087302	RTRAF	1	1	1.0	2	1	0.5	0.5	1/2
ENSG00000095564	BTAF1	4	3	0.75	2	1	0.5	0.25	1/4
ENSG00000095787	WAC	4	0	0.0	2	2	1.0	-1.0	-1/1
ENSG00000099917	MED15	4	2	0.5	11	9	0.8181818181818182	-0.3181818181818182	-7/22
ENSG00000099956	SMARCB1	6	0	0.0	1	0	0.0	0.0	0/1
ENSG00000101457	DNTTIP1	2	0	0.0	2	0	0.0	0.0	0/1
ENSG00000102144	PGK1	1	1	1.0	1	0	0.0	1.0	1/1
ENSG00000102710	SUPT20H	27	21	0.7777777777777778	19	6	0.3157894736842105	0.4619883040935672	79/171
ENSG00000103363	ELOB	4	2	0.5	5	1	0.2	0.3	3/10
ENSG00000106546	AHR	15	4	0.26666666666666666	12	5	0.4166666666666667	-0.15	-3/20
ENSG00000107485	GATA3	1	0	0.0	4	1	0.25	-0.25	-1/4
ENSG00000108946	PRKAR1A	2	2	1.0	2	1	0.5	0.5	1/2
ENSG00000110321	EIF4G2	8	3	0.375	7	2	0.2857142857142857	0.08928571428571429	5/56
ENSG00000111605	CPSF6	4	3	0.75	3	1	0.3333333333333333	0.4166666666666667	5/12
ENSG00000112237	CCNC	30	20	0.6666666666666666	31	21	0.6774193548387096	-0.010752688172043012	-1/93
