"regulator_ensg"	"regulator_symbol"	"paired_donor_set"	"paired_donors"	"case_guide_A"	"case_guide_B"	"cal_guide_A"	"cal_guide_B"	"distance_A"	"distance_B"	"total_score"	"feasible_unordered_pairs"	"feasible_ordered_pairs"	"cal_selection_status"	"target_or_expression_values_used"	"methods_config_sha256"	"amendment_sha256"	"case_support_sha256"	"ntc_support_sha256"
"ENSG00000004487"	"KDM1A"	"D1,D2,D3,D4"	4	"KDM1A-1"	"KDM1A-2"	"NTC-334"	"NTC-785"	0.517870909639147	0.516352393779127	1.03422330341827	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000005339"	"CREBBP"	"D1,D2,D3,D4"	4	"CREBBP-1"	"CREBBP-2"	"NTC-322"	"NTC-651"	0.493790177085469	0.526535298225698	1.02032547531117	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000008838"	"MED24"	"D1,D3,D4"	3	"MED24-1"	"MED24-2"	"NTC-367"	"NTC-278"	0.46294337947081	0.55688711403917	1.01983049350998	15589	31178	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000009307"	"CSDE1"	"D2,D3,D4"	3	"CSDE1-1"	"CSDE1-2"	"NTC-265"	"NTC-022"	0.506081490180289	0.565430085399661	1.07151157557995	11591	23182	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000011028"	"MRC2"	"D1,D2,D3,D4"	4	"MRC2-1"	"MRC2-2"	"NTC-249"	"NTC-846"	0.569229808441475	0.473781850411426	1.0430116588529	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000027001"	"MIPEP"	"D1,D3,D4"	3	"MIPEP-1"	"MIPEP-2"	"NTC-708"	"NTC-278"	0.460325629047051	0.556651577840793	1.01697720688784	15589	31178	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000037897"	"METTL1"	"D2,D3,D4"	3	"METTL1-1"	"METTL1-2"	"NTC-125"	"NTC-656"	0.546719864331462	0.579429737797682	1.12614960212914	11591	23182	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000040633"	"PHF23"	"D1,D2,D4"	3	"PHF23-1"	"PHF23-2"	"NTC-375"	"NTC-435"	0.476193574257764	0.529153159417068	1.00534673367483	17174	34348	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000054118"	"THRAP3"	"D1,D2,D3,D4"	4	"THRAP3-1"	"THRAP3-2"	"NTC-249"	"NTC-290"	0.543643786652293	0.500714009251654	1.04435779590395	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000064995"	"TAF11"	"D1,D2,D3,D4"	4	"TAF11-1"	"TAF11-2"	"NTC-634"	"NTC-446"	0.55592789544633	0.605719043398697	1.16164693884503	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
