regulator,donor,condition,score_shift,total_variation,guide_1_score_shift,guide_2_score_shift,n_guides
ATXN7L3,A,Resting,-0.011238904462920307,0.005634740737656629,-0.023483829365836262,0.0010060204399956474,2
BACH2,A,Resting,0.027969567312134624,0.08524030226199936,-0.013744490014182209,0.06968362463845146,2
BATF,A,Resting,0.008200867308510662,0.05595671060416041,0.014843030108345867,0.001558704508675457,2
BPTF,A,Resting,0.001559479369057537,0.04015379247482462,-0.009394125805960774,0.012513084544075848,2
CBFB,A,Resting,-0.06492537425624001,0.1423256655588819,-0.059991853104697346,-0.06985889540778267,2
DNMT1,A,Resting,0.052699385417832256,0.1452639130525267,0.03435636891259086,0.07104240192307365,2
ETS1,A,Resting,0.02640797032250297,0.018328150350243294,0.04075555337799919,0.012060387267006756,2
FOXO1,A,Resting,0.04236103428734672,0.12225671385357886,0.08268458975685966,0.002037478817833782,2
IL2RA,A,Resting,-0.03636366294489968,0.06272785975028028,-0.048747556077109455,-0.0239797698126899,2
IRF1,A,Resting,0.007493613494767071,0.06818422798607857,0.01072273982895744,0.004264487160576702,2
IRF2,A,Resting,-0.012810589538680195,0.03213246983549173,-0.014895425902472614,-0.010725753174887775,2
IRF4,A,Resting,0.04341381622685325,0.11240727997559197,0.014698727263344646,0.07212890519036186,2
KLF13,A,Resting,-0.02308914230929482,0.0546925517149722,-0.017064856158362507,-0.02911342846022713,2
KLF2,A,Resting,0.032821713222397686,0.06768149492472952,0.053746355904473186,0.011897070540322185,2
LEF1,A,Resting,-0.0042581723795996895,0.018773783833699625,-0.006308005915747761,-0.0022083388434516182,2
MED11,A,Resting,0.020657791031731487,0.06110254755630848,0.02034248246086967,0.020973099602593304,2
MED12,A,Resting,0.030908523334397198,0.1149233886431476,0.03279234303368461,0.029024703635109783,2
MED24,A,Resting,0.006674422158135296,0.02219335690700497,0.010713203085793377,0.0026356412304772148,2
MEF2D,A,Resting,0.0044547898901833305,0.025176996499178456,-0.015012340413199543,0.023921920193566204,2
MYB,A,Resting,0.044985754622353435,0.10058596822776794,0.044436199797524334,0.04553530944718254,2
MYC,A,Resting,-0.003343688117133259,0.05325669175419448,-0.02419261799918282,0.0175052417649163,2
NFKB2,A,Resting,0.031613899601830364,0.08770325571991777,0.04099227322472465,0.022235525978936077,2
PRDM1,A,Resting,-0.027972997890578388,0.0463132569944624,-0.030434684620963215,-0.02551131116019356,2
SOCS3,A,Resting,0.12236507071389091,0.2613218458019225,0.16464651955498588,0.08008362187279594,2
STAT5B,A,Resting,-0.0018625275956259957,0.02783125538638423,-0.005979792939292072,0.002254737748040081,2
TAF5L,A,Resting,0.0035966618193520317,0.022854772539087964,0.03681982888115776,-0.029626505242453693,2
USP22,A,Resting,-0.0018503235446082344,0.026558578546647366,-0.0059663818942176094,0.0022657348050011406,2
ZNF217,A,Resting,0.021105749739540935,0.03923559871567539,0.017140580548180462,0.02507091893090141,2
ATXN7L3,A,Stimulated,-0.007686704397201538,0.027467032407702374,-0.0069699883460998535,-0.008403420448303223,2
BACH2,A,Stimulated,0.006077945232391357,0.006700383875508253,0.00446927547454834,0.007686614990234375,2
BATF,A,Stimulated,0.025212958455085754,0.06480658635297018,0.052099764347076416,-0.0016738474369049072,2
BPTF,A,Stimulated,0.016420304775238037,0.043672165989003,0.00415414571762085,0.028686463832855225,2
CBFB,A,Stimulated,-0.018394455313682556,0.05618610339730107,-0.02412205934524536,-0.012666851282119751,2
DNMT1,A,Stimulated,0.014563009142875671,0.03892774041398955,0.003975003957748413,0.02515101432800293,2
ETS1,A,Stimulated,0.009104028344154358,0.05358805258019875,0.020835548639297485,-0.0026274919509887695,2
FOXO1,A,Stimulated,0.022517681121826172,0.04106000806220908,0.015308618545532227,0.029726743698120117,2
IL2RA,A,Stimulated,-0.07418225705623627,0.1873890433263219,-0.07803085446357727,-0.07033365964889526,2
IRF1,A,Stimulated,0.009723961353302002,0.04505346481362518,-0.0010012388229370117,0.020449161529541016,2
IRF2,A,Stimulated,0.01027233898639679,0.02813187794423308,0.0015049874782562256,0.019039690494537354,2
IRF4,A,Stimulated,0.01044262945652008,0.02058982754240818,0.004432380199432373,0.016452878713607788,2
KLF13,A,Stimulated,0.0032817572355270386,0.04165803831319373,0.025430381298065186,-0.01886686682701111,2
KLF2,A,Stimulated,0.01196269690990448,0.023829624226791274,0.011196821928024292,0.012728571891784668,2
LEF1,A,Stimulated,0.019119098782539368,0.039010208459787504,0.01403459906578064,0.024203598499298096,2
MED11,A,Stimulated,0.03312389552593231,0.06953179059727449,0.05256044864654541,0.013687342405319214,2
MED12,A,Stimulated,0.03676538169384003,0.08660770951745567,0.05295968055725098,0.020571082830429077,2
MED24,A,Stimulated,0.03920599818229675,0.09776088959699644,0.038318753242492676,0.04009324312210083,2
MEF2D,A,Stimulated,0.038276880979537964,0.09085933364405765,0.04714566469192505,0.02940809726715088,2
MYB,A,Stimulated,-0.006771653890609741,0.046029164525826616,-0.000318378210067749,-0.013224929571151733,2
MYC,A,Stimulated,-0.04455290734767914,0.1043460128857922,-0.05503439903259277,-0.0340714156627655,2
NFKB2,A,Stimulated,-0.03002043068408966,0.07406913360315415,-0.022901952266693115,-0.037138909101486206,2
PRDM1,A,Stimulated,0.01957891881465912,0.03863002432316773,0.024006247520446777,0.01515159010887146,2
SOCS3,A,Stimulated,0.012008100748062134,0.029792563914717823,-0.0017508864402770996,0.025767087936401367,2
STAT5B,A,Stimulated,-0.057788535952568054,0.12644590024165855,-0.06605643033981323,-0.049520641565322876,2
TAF5L,A,Stimulated,0.0011697709560394287,0.025778168932183265,0.01680031418800354,-0.014460772275924683,2
USP22,A,Stimulated,0.007754012942314148,0.02052818202353071,0.01668483018875122,-0.0011768043041229248,2
ZNF217,A,Stimulated,-0.015226602554321289,0.051690067247670335,-0.04425168037414551,0.01379847526550293,2
ATXN7L3,B,Resting,0.016808847586313902,0.050132599162895086,0.012868712345759092,0.02074898282686871,2
BACH2,B,Resting,0.024234900871912657,0.0502801548882347,0.012273887793223082,0.03619591395060223,2
BATF,B,Resting,-0.0005638202031453265,0.032539185670810405,0.0031086603800455914,-0.0042363007863362445,2
BPTF,B,Resting,0.010647917787234007,0.029960117438387085,0.011584977308909117,0.009710858265558897,2
CBFB,B,Resting,0.030306334296862303,0.07807065901473781,0.02041019002596539,0.040202478567759214,2
DNMT1,B,Resting,0.048776100079218565,0.11546700051574493,0.03835217157999676,0.05920002857844037,2
ETS1,B,Resting,0.024238730470339476,0.07694135949010389,0.043909708658854185,0.004567752281824766,2
FOXO1,B,Resting,0.05507605771223706,0.11848349034929545,0.10121277968088788,0.00893933574358624,2
IL2RA,B,Resting,-0.03852081795533496,0.08040553956226068,-0.04512568314870197,-0.03191595276196796,2
IRF1,B,Resting,0.03183200458685559,0.05891688573583176,0.008312473694483458,0.05535153547922772,2
IRF2,B,Resting,0.015511984626452147,0.03126347584711231,0.023551801840464293,0.007472167412440001,2
IRF4,B,Resting,0.08029783765474957,0.15818204013561368,0.05209122101465863,0.10850445429484051,2
KLF13,B,Resting,0.01757852236429852,0.043576220897353385,0.023783127466837584,0.011373917261759459,2
KLF2,B,Resting,0.07311683396498364,0.15126956161893623,0.08382798234621686,0.062405685583750425,2
LEF1,B,Resting,0.008947859207789122,0.02452689182774595,0.002620230118433653,0.01527548829714459,2
MED11,B,Resting,0.03804636994997662,0.08873264253138698,0.05908809105555218,0.01700464884440106,2
MED12,B,Resting,0.08241676787535351,0.18271882998418282,0.09371990958849591,0.07111362616221112,2
MED24,B,Resting,0.015792141358057676,0.045326065554830264,0.004218051830927549,0.027366230885187803,2
