minimum_reversals	donor	n_lost_predicted_induced	n_gained_predicted_repressed	auc	stratified_auc	median_delta_lost	median_delta_gained	median_delta_difference
2	TB03070100	351	278	0.550349464018529	0.576371897937784	0.579044905858241	0.263378666527545	0.315666239330696
2	TB03070514	351	278	0.525466806042346	0.546662006291507	0.58042123187521	0.389452320530629	0.190968911344581
2	TB03070641	351	278	0.503832831170961	0.532680880810905	0.752174515071376	0.849991914012872	-0.0978173989414967
2	TB03071454	351	278	0.615948267027404	0.630548759175114	0.866766700796959	0.163450004491742	0.703316696305217
2	TB03071936	351	278	0.567761175674845	0.584061516952115	0.719010725892661	0.33893638715328	0.380074338739381
2	TB03072560	351	278	0.561940191436594	0.59419783292555	0.812386544112689	0.461104794915424	0.351281749197265
2	TB03072608	351	278	0.576923076923077	0.601887451939881	0.782285853320831	0.389766907877312	0.392518945443519
2	TB03073148	351	278	0.576882084076329	0.602586508213911	0.751130176702536	0.371808328963349	0.379321847739187
2	TB03073189	351	278	0.5950419151858	0.615519049283467	0.783168605608141	0.291631225846749	0.491537379761392
2	TB03073577	351	278	0.555412080591937	0.579168123033904	0.66726138726877	0.39794674868942	0.26931463857935
2	TB03073591	351	278	0.576051978929677	0.58511010136316	0.659187715615992	0.243662026359223	0.41552568925677
2	TB03073798	351	278	0.571317305130255	0.594896889199581	0.861531352463823	0.422952278151486	0.438579074312337
2	TB03073852	351	278	0.605679558916969	0.632645927997204	0.846859072786189	0.289901754381822	0.556957318404366
2	TB03073878	351	278	0.596589395150546	0.615868577420482	0.897216970220915	0.379492915934315	0.517724054286599
2	TB03074092	351	278	0.570753653487466	0.596994058021671	0.932781140670535	0.5330696004597	0.399711540210835
2	TB03074157	351	278	0.56443050687655	0.58720727018525	0.692908244721678	0.379574936310311	0.313333308411367
2	TB03074178	351	278	0.559214167127836	0.58441104508913	0.76524054900016	0.460939827885802	0.304300721114358
2	TB03074192	351	278	0.591578019635574	0.611674239776302	0.794190039288983	0.313021607709508	0.481168431579476
2	TB03074218	351	278	0.547377482629281	0.572876616567634	0.701330570676269	0.465413693950188	0.235916876726081
2	TB03074315	351	278	0.58549058189346	0.612023767913317	0.723841315769064	0.303491949593852	0.420349366175213
2	TB03074401	351	278	0.579925802947386	0.602586508213911	0.8728041460786	0.419887638945172	0.452916507133428
2	TB03074749	351	278	0.570507696406977	0.596644529884656	0.708439228683675	0.350794619168843	0.357644609514833
3	TB03070100	162	118	0.517943084327265	0.524777636594663	0.430269450061578	0.310623272741931	0.119646177319647
3	TB03070514	162	118	0.491420799330404	0.496823379923761	0.538913107256831	0.545834901261378	-0.00692179400454673
3	TB03070641	162	118	0.473373090604729	0.466327827191868	0.693411037550687	1.01699669201863	-0.323585654467947
3	TB03071454	162	118	0.601694915254237	0.58576874205845	0.857038936832038	0.299231586296976	0.557807350535062
3	TB03071936	162	118	0.537193973634652	0.533672172808132	0.637242041511436	0.417825223482675	0.219416818028761
3	TB03072560	162	118	0.528353211969031	0.541296060991105	0.821165674862888	0.527273561095225	0.293892113767663
3	TB03072608	162	118	0.555137057961917	0.546378653113088	0.773783161774498	0.459326937930042	0.314456223844455
3	TB03073148	162	118	0.546243984097091	0.545108005082592	0.737930004327199	0.428223416798701	0.309706587528498
3	TB03073189	162	118	0.572033898305085	0.564167725540025	0.748968224891159	0.414420990891784	0.334547233999375
3	TB03073577	162	118	0.525632977610379	0.52858958068615	0.751121352207271	0.630423806758066	0.120697545449206
3	TB03073591	162	118	0.536880100439422	0.518424396442186	0.744254343226697	0.328372145082622	0.415882198144075
3	TB03073798	162	118	0.545406988909814	0.542566709021601	0.774208500045012	0.433791292170355	0.340417207874657
3	TB03073852	162	118	0.577631303620004	0.576874205844981	0.822981271411993	0.44961408236012	0.373367189051873
3	TB03073878	162	118	0.574806444862942	0.566709021601017	0.82856301800859	0.445167654707718	0.383395363300872
3	TB03074092	162	118	0.544517681523331	0.554002541296061	0.967154294607017	0.653857979157573	0.313296315449444
3	TB03074157	162	118	0.529765641347562	0.532401524777637	0.704064111618029	0.491248679043117	0.212815432574912
3	TB03074178	162	118	0.535415358861687	0.533672172808132	0.70157731192155	0.551389100592303	0.150188211329247
3	TB03074192	162	118	0.576271186440678	0.569250317662008	0.871067763535225	0.360407845751315	0.51065991778391
3	TB03074218	162	118	0.512293366813141	0.508259212198221	0.662880196075964	0.588564006975104	0.07431618910086
3	TB03074315	162	118	0.551736765013601	0.556543837357052	0.658198719155274	0.52663343964017	0.131565279515105
3	TB03074401	162	118	0.552835321196903	0.550190597204574	0.847391700079436	0.464342938938299	0.383048761141137
