target_ensg	target	census_indegree	n_reversals	n_stable	n_rest_positive	n_rest_negative	reversal_signed_score	stable_rest_sign_score	all_edge_rest_sign_score	median_delta_0_to_48	reversal_unanimous	author_normalized_median_delta_0_to_48
ENSG00000002822	MAD1L1	19	2	17	6	13	-1	-0.294117647058824	-0.368421052631579	-0.538862992089247	TRUE	-0.824496412474595
ENSG00000005486	RHBDD2	6	3	3	6	0	1	1	1	-1.90713336064249	TRUE	-2.1877322460728
ENSG00000006530	AGK	8	2	6	5	3	0	0.333333333333333	0.25	1.81762157974774	FALSE	1.45428946970596
ENSG00000006576	PHTF2	23	3	20	12	11	1	-0.1	0.0434782608695652	1.13679983899209	TRUE	0.830445724919305
ENSG00000006625	GGCT	15	2	13	1	14	0	-1	-0.866666666666667	2.60501237239055	FALSE	2.27035590731556
ENSG00000007202	BLTP2	4	3	1	3	1	1	-1	0.5	0.54089745475955	TRUE	0.137922337584285
ENSG00000008083	JARID2	18	2	16	15	3	1	0.625	0.666666666666667	0.705428535248405	TRUE	0.335145972084135
ENSG00000008513	ST3GAL1	12	2	10	10	2	0	0.8	0.666666666666667	0.152294924076107	FALSE	-0.174589916123155
ENSG00000009790	TRAF3IP3	21	7	14	19	2	1	0.714285714285714	0.80952380952381	-0.844463280676259	TRUE	-1.09951500167187
ENSG00000009954	BAZ1B	4	2	2	4	0	1	1	1	0.722839192738239	TRUE	0.401905989610935
ENSG00000010017	RANBP9	15	7	8	11	4	1	0	0.466666666666667	0.138415448767726	TRUE	-0.160595621661315
ENSG00000011304	PTBP1	6	2	4	2	4	1	-1	-0.333333333333333	1.00147024855876	TRUE	0.65886707333603
ENSG00000011485	PPP5C	3	2	1	1	2	0	-1	-0.333333333333333	2.22342293416699	FALSE	1.796119290581
ENSG00000011590	ZBTB32	10	3	7	3	7	1	-1	-0.4	7.7521411012846	TRUE	6.46324683562574
ENSG00000012822	CALCOCO1	9	2	7	6	3	0	0.428571428571429	0.333333333333333	-2.43720806729871	FALSE	-2.72010555226732
ENSG00000013441	CLK1	15	2	13	13	2	0	0.846153846153846	0.733333333333333	-1.76019967585568	FALSE	-2.0958501318083
ENSG00000013810	TACC3	13	6	7	1	12	-0.666666666666667	-1	-0.846153846153846	0.968626577937806	FALSE	0.724135474080905
ENSG00000020633	RUNX3	13	2	11	12	1	1	0.818181818181818	0.846153846153846	-0.262921698989931	TRUE	-0.54099617390263
ENSG00000023171	GRAMD1B	25	4	21	19	6	0.5	0.523809523809524	0.52	0.169730929142673	FALSE	-0.147371121358878
ENSG00000023330	ALAS1	10	2	8	10	0	1	1	1	1.41481751507256	TRUE	1.14068713242986
ENSG00000023445	BIRC3	25	4	21	15	10	1	0.0476190476190476	0.2	-0.108655322339061	TRUE	-0.481172353494685
ENSG00000024048	UBR2	13	3	10	10	3	-1	1	0.538461538461538	-0.714406142405791	TRUE	-1.02257828936841
ENSG00000026025	VIM	32	3	29	9	23	-0.333333333333333	-0.448275862068966	-0.4375	-1.13639953076649	FALSE	-1.52372028322771
ENSG00000026103	FAS	15	2	13	12	3	-1	0.846153846153846	0.6	0.673072848011521	TRUE	0.30177075388202
ENSG00000026508	CD44	32	2	30	6	26	1	-0.733333333333333	-0.625	-1.3053493551458	TRUE	-1.60223887566123
ENSG00000028277	POU2F2	10	2	8	2	8	1	-1	-0.6	0.420546919924475	TRUE	0.145220568020207
ENSG00000028310	BRD9	3	2	1	2	1	0	1	0.333333333333333	-0.391260840345123	FALSE	-0.685052276887733
ENSG00000029725	RABEP1	7	2	5	3	4	-1	0.2	-0.142857142857143	0.563116963747028	TRUE	0.25119594293219
ENSG00000033170	FUT8	22	4	18	9	13	0.5	-0.333333333333333	-0.181818181818182	0.912425483220963	FALSE	0.628237697587075
ENSG00000033327	GAB2	20	2	18	6	14	1	-0.555555555555556	-0.4	-2.12691976192845	TRUE	-2.26324241021293
ENSG00000034510	TMSB10	31	8	23	13	18	-0.5	-0.0434782608695652	-0.161290322580645	1.77665267139118	FALSE	1.54030977190165
ENSG00000034677	RNF19A	10	3	7	8	2	1	0.428571428571429	0.6	1.56061099288315	TRUE	1.21226617668329
ENSG00000035115	SH3YL1	9	2	7	5	4	-1	0.428571428571429	0.111111111111111	-1.00301213902829	TRUE	-1.19584158769626
ENSG00000035141	FAM136A	9	3	6	4	5	0.333333333333333	-0.333333333333333	-0.111111111111111	1.45529467278822	FALSE	1.15442039730497
ENSG00000035403	VCL	15	4	11	1	14	-1	-0.818181818181818	-0.866666666666667	1.03579905501414	TRUE	0.73297575031906
ENSG00000035681	NSMAF	7	2	5	3	4	1	-0.6	-0.142857142857143	-0.11107883508457	TRUE	-0.35982444504786
ENSG00000035720	STAP1	17	5	12	9	8	1	-0.333333333333333	0.0588235294117647	1.99867444354217	TRUE	1.25808830999413
ENSG00000035928	RFC1	7	2	5	3	4	1	-0.6	-0.142857142857143	1.44946444093039	TRUE	1.10350512093301
ENSG00000040341	STAU2	16	2	14	11	5	1	0.285714285714286	0.375	0.655629213280516	TRUE	0.34265274266072
ENSG00000040933	INPP4A	24	2	22	15	9	1	0.181818181818182	0.25	-1.41823093858403	TRUE	-1.60420095827787
ENSG00000043462	LCP2	12	2	10	7	5	1	0	0.166666666666667	0.327239979894255	TRUE	0.0197935027081897
ENSG00000044574	HSPA5	17	3	14	13	4	0.333333333333333	0.571428571428571	0.529411764705882	1.56482844556943	FALSE	1.25117450109376
ENSG00000047410	TPR	8	3	5	2	6	-1	-0.2	-0.5	0.188563759609497	TRUE	-0.10357112673504
ENSG00000049449	RCN1	12	2	10	4	8	0	-0.4	-0.333333333333333	3.07439691141888	FALSE	2.28055634467403
ENSG00000050405	LIMA1	26	2	24	20	6	0	0.583333333333333	0.538461538461538	3.39041596885704	FALSE	2.97558864079747
ENSG00000051108	HERPUD1	17	2	15	11	6	1	0.2	0.294117647058824	1.1256821470553	TRUE	0.813711640334595
ENSG00000052802	MSMO1	9	2	7	7	2	1	0.428571428571429	0.555555555555556	1.68247134012619	TRUE	1.35017771813946
