time	donor	auc	median_delta_lost	median_delta_gained	median_delta_difference
0	TB03070100	0.5	0	0	0
0	TB03070514	0.5	0	0	0
0	TB03070641	0.5	0	0	0
0	TB03071454	0.5	0	0	0
0	TB03071936	0.5	0	0	0
0	TB03072560	0.5	0	0	0
0	TB03072608	0.5	0	0	0
0	TB03073148	0.5	0	0	0
0	TB03073189	0.5	0	0	0
0	TB03073577	0.5	0	0	0
0	TB03073591	0.5	0	0	0
0	TB03073798	0.5	0	0	0
0	TB03073852	0.5	0	0	0
0	TB03073878	0.5	0	0	0
0	TB03074092	0.5	0	0	0
0	TB03074157	0.5	0	0	0
0	TB03074178	0.5	0	0	0
0	TB03074192	0.5	0	0	0
0	TB03074218	0.5	0	0	0
0	TB03074315	0.5	0	0	0
0	TB03074401	0.5	0	0	0
0	TB03074749	0.5	0	0	0
2	TB03070100	0.696509459099387	0.320770212534599	-0.0431141544754499	0.363884367010049
2	TB03070514	0.666282358728402	0.227424343671659	0.0321458455296149	0.195278498142044
2	TB03070641	0.692604890446617	0.339721324750649	0.0154055771842097	0.32431574756644
2	TB03071454	0.717912849207813	0.376213890534219	-0.13668571868265	0.512899609216868
2	TB03071936	0.670243292545451	0.263264251429889	-0.036157936509551	0.29942218793944
2	TB03072560	0.690544999897518	0.187850428999112	-0.107910370201632	0.295760799200744
2	TB03072608	0.674685892311792	0.320622191995021	-0.00327173838227202	0.323893930377293
2	TB03073148	0.700772715161204	0.370608811209302	-0.0212623878103679	0.39187119901967
2	TB03073189	0.698190165816065	0.211089216804476	-0.123994208122909	0.335083424927385
2	TB03073577	0.713388263747976	0.355005328586487	-0.0963072515717801	0.451312580158267
2	TB03073591	0.687813851482916	0.158492336130854	-0.113838809544005	0.272331145674858
2	TB03073798	0.621236344257927	0.168762701038263	0.013022490751494	0.155740210286769
2	TB03073852	0.669454180245547	0.13369373592263	-0.0622049925958157	0.195898728518446
2	TB03073878	0.671544815429708	0.242229760457219	-0.0660906855681815	0.308320446025401
2	TB03074092	0.687316813216094	0.403245997263437	0.0332285713662421	0.370017425897195
2	TB03074157	0.687060607923917	0.29532224850835	-0.0272268208905802	0.32254906939893
2	TB03074178	0.670525118366845	0.323790626157912	-0.0115512142335854	0.335341840391497
2	TB03074192	0.699671032404845	0.359152007695188	-0.0598639497480926	0.419015957443281
2	TB03074218	0.64151755518662	0.153943190304257	0.00893699345887944	0.145006196845377
2	TB03074315	0.657930066203448	0.289148338796922	0.0170248701949132	0.272123468602009
2	TB03074401	0.700905941913136	0.419438305911586	-0.0898555436982134	0.5092938496098
2	TB03074749	0.670571235319437	0.361580685887605	0.00298227034424148	0.358598415543363
4	TB03070100	0.685933304638341	0.653566569596142	-0.172415776948291	0.825982346544433
4	TB03070514	0.675879808973334	0.493200158421442	-0.0964088959719884	0.58960905439343
4	TB03070641	0.654035745762364	0.680554008529953	-0.0130752121173177	0.69362922064727
4	TB03071454	0.737317838037262	0.778939728957603	-0.514382621529557	1.29332235048716
