gene,role,n_inverted_edges,in_candidate_617,dgidb_recognized,dgidb_functional_class,druggable_genome,clinically_actionable,has_drug_interaction,has_approved_drug,n_distinct_drugs,n_approved_drugs,example_drugs,is_reversal_regulator,is_stable_only,is_top20_inverter,n_distinct_reversal_regulators
CCNC,candidate_regulator,288,True,True,Kinase,False,False,False,False,0,0,,True,False,True,
TADA2B,candidate_regulator,268,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,True,
ARNT,candidate_regulator,177,True,True,Nuclear receptor,True,True,True,True,44,9,ALPRAZOLAM|BREXANOLONE|CLONAZEPAM|DIAZEPAM|FLUMAZENIL|FLUNITRAZEPAM,True,False,True,
SGF29,candidate_regulator,166,True,True,Other/unclassified,False,False,False,False,0,0,,True,False,True,
AHR,candidate_regulator,165,True,True,Nuclear receptor,True,False,True,True,60,16,CARBARIL|CHRYSIN|CLIOQUINOL|GENISTEIN|LEVOTHYROXINE|METHYLCELLULOSE,True,False,True,
SUPT7L,candidate_regulator,148,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,True,
TAF6L,candidate_regulator,129,True,True,Transcription factor,False,False,False,False,0,0,,True,False,True,
SUPT20H,candidate_regulator,100,True,True,Kinase,False,False,False,False,0,0,,True,False,True,
TADA1,candidate_regulator,100,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,True,
NCKAP1L,candidate_regulator,91,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,True,
ATAD5,candidate_regulator,90,True,True,Other/unclassified,False,False,True,True,295,32,ALBENDAZOLE|AMSACRINE|ASPIRIN|AZACITIDINE|AZATHIOPRINE|CAMPTOTHECIN,True,False,True,
ARHGAP30,candidate_regulator,71,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,True,
ELOF1,candidate_regulator,67,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,True,
SENP5,candidate_regulator,64,True,True,Protease,False,False,False,False,0,0,,True,False,True,
CREBBP,candidate_regulator,59,True,True,Transcription factor,True,True,True,True,22,7,ALPRAZOLAM|COLCHICINE|ESTAZOLAM|METHYLPHENIDATE HYDROCHLORIDE|MIDAZOLAM HYDROCHLORIDE|PAPAVERINE,True,False,True,
LEO1,candidate_regulator,59,True,True,Enzyme,False,False,False,False,0,0,,True,False,True,
MED24,candidate_regulator,57,True,True,Nuclear receptor,False,False,False,False,0,0,,True,False,True,
ATP2A2,candidate_regulator,55,True,True,Transporter,True,False,True,True,23,2,CELECOXIB|NORGESTIMATE,True,False,True,
EIF4G2,candidate_regulator,55,True,True,Other/unclassified,False,False,True,False,1,0,COMPOUND 9B [PMID: 18986805],True,False,True,
MED12,candidate_regulator,53,True,True,Kinase,False,True,False,False,0,0,,True,False,True,
DHX36,candidate_regulator,51,True,True,Other/unclassified,False,False,True,False,1,0,MANOALIDE,True,False,False,
NCOR1,candidate_regulator,43,True,True,Nuclear receptor,False,True,False,False,0,0,,True,False,False,
STAT5B,candidate_regulator,42,True,True,Kinase,True,True,True,True,5,4,DASATINIB ANHYDROUS|EPOETIN ALFA|SOMATROPIN (RECOMBINANT DNA ORIGIN)|TOFACITINIB,True,False,False,
KDM1A,candidate_regulator,41,True,True,Other/unclassified,True,False,True,True,5,1,TRANYLCYPROMINE,True,False,False,
STIP1,candidate_regulator,41,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
DOCK2,candidate_regulator,40,True,True,Other/unclassified,False,False,True,True,2,1,DEUCRAVACITINIB,True,False,False,
DOP1B,candidate_regulator,40,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
TSC1,candidate_regulator,39,True,True,Kinase,False,True,True,True,4,3,ASPIRIN|EVEROLIMUS|SIROLIMUS,True,False,False,
DOLPP1,candidate_regulator,38,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
MED15,candidate_regulator,38,True,True,Transcription factor,False,False,False,False,0,0,,True,False,False,
STAT3,candidate_regulator,38,True,True,Kinase,True,True,True,True,30,7,ACITRETIN|CELECOXIB|DIGITOXIN|DIGOXIN|NICLOSAMIDE|OSIMERTINIB,True,False,False,
CPSF6,candidate_regulator,37,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
SMARCE1,candidate_regulator,36,True,True,Other/unclassified,False,True,False,False,0,0,,True,False,False,
TAF13,candidate_regulator,35,True,True,Transcription factor,False,False,False,False,0,0,,True,False,False,
CBFB,candidate_regulator,34,True,True,Transcription factor,False,True,True,True,32,4,DAUNORUBICIN LIPOSOMAL|DISULFIRAM|PYROGALLOL|TAMOXIFEN CITRATE,True,False,False,
ELOB,candidate_regulator,32,True,True,Transcription factor,False,False,False,False,0,0,,True,False,False,
NSD1,candidate_regulator,30,True,True,Nuclear receptor,False,True,False,False,0,0,,True,False,False,
WDR82,candidate_regulator,30,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
NFRKB,candidate_regulator,27,True,True,Other/unclassified,False,False,False,False,0,0,,True,False,False,
BTAF1,candidate_regulator,25,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
EWSR1,candidate_regulator,23,True,True,Transcription factor,False,True,True,True,4,2,PAZOPANIB|SUNITINIB,True,False,False,
DENR,candidate_regulator,22,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
ELAVL1,candidate_regulator,22,True,True,Other/unclassified,True,False,True,False,5,0,DEHYDROMUTACTIN|NG-25|PP1|RIVOCERANIB|THERAPEUTIC ANDROSTANOLONE,True,False,False,
RBM10,candidate_regulator,21,True,True,Other/unclassified,False,True,False,False,0,0,,True,False,False,
SMARCB1,candidate_regulator,21,True,True,Other/unclassified,False,True,True,True,2,2,PANOBINOSTAT|TAZEMETOSTAT,True,False,False,
UBR4,candidate_regulator,21,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
WAC,candidate_regulator,20,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
MED19,candidate_regulator,18,True,True,Transcription factor,False,False,True,True,1,1,DEHYDRATED ALCOHOL,True,False,False,
SKIC8,candidate_regulator,18,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
UBXN1,candidate_regulator,18,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
USP22,candidate_regulator,18,True,True,Nuclear receptor,False,False,False,False,0,0,,True,False,False,
LRPPRC,candidate_regulator,17,True,True,Transcription factor,False,False,False,False,0,0,,True,False,False,
BRD8,candidate_regulator,15,True,True,Nuclear receptor,False,False,False,False,0,0,,True,False,False,
MEN1,candidate_regulator,15,True,True,Other/unclassified,False,True,True,True,33,6,CHLORHEXIDINE HYDROCHLORIDE|METHYLENE BLUE ANHYDROUS|OLSALAZINE|PLERIXAFOR|TANNIC ACID|TRIMETREXATE,True,False,False,
UFM1,candidate_regulator,15,True,True,Nuclear receptor,False,False,False,False,0,0,,True,False,False,
ACTR8,candidate_regulator,14,True,True,Other/unclassified,False,False,False,False,0,0,,True,False,False,
TAF11,candidate_regulator,14,True,True,Transcription factor,False,False,False,False,0,0,,True,False,False,
USP7,candidate_regulator,14,True,True,Protease,True,False,True,False,0,0,,True,False,False,
YEATS2,candidate_regulator,14,True,True,Other/unclassified,False,False,False,False,0,0,,True,False,False,
GATA3,candidate_regulator,13,True,True,Transcription factor,False,True,True,True,19,18,ASPARAGINASE|CYCLOPHOSPHAMIDE ANHYDROUS|CYTARABINE|DAUNORUBICIN LIPOSOMAL|DEXAMETHASONE|DOXORUBICIN HYDROCHLORIDE,True,False,False,
NAA30,candidate_regulator,13,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
RPRD2,candidate_regulator,13,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
UBE2L3,candidate_regulator,13,True,True,Enzyme,False,False,False,False,0,0,,True,False,False,
YTHDF2,candidate_regulator,13,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
ATP5ME,candidate_regulator,12,True,True,Other/unclassified,False,False,True,True,7,2,DOCONEXENT|HALOTHANE,True,False,False,
BATF,candidate_regulator,12,True,True,Transcription factor,False,False,False,False,0,0,,True,False,False,
LAMTOR2,candidate_regulator,12,True,True,Kinase,False,False,False,False,0,0,,True,False,False,
PPP1R11,candidate_regulator,12,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
THAP11,candidate_regulator,12,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
TMED9,candidate_regulator,12,True,True,Other/unclassified,True,False,False,False,0,0,,True,False,False,
TRIP12,candidate_regulator,12,True,True,Other/unclassified,False,False,False,False,0,0,,True,False,False,
CFAP20,candidate_regulator,11,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
CYB5R4,candidate_regulator,11,True,True,Other/unclassified,False,False,True,True,5,5,ISOSORBIDE DINITRATE|ISOSORBIDE MONONITRATE|METOCLOPRAMIDE HYDROCHLORIDE|PRIMAQUINE|RASBURICASE,True,False,False,
DNAJC8,candidate_regulator,11,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
FAM98B,candidate_regulator,11,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
KIFAP3,candidate_regulator,11,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
PDCL,candidate_regulator,11,True,False,Other/unclassified,False,False,False,False,0,0,,True,False,False,
PRKAR1A,candidate_regulator,11,True,True,Kinase,False,True,False,False,0,0,,True,False,False,
SIK3,candidate_regulator,11,True,True,Kinase,True,False,True,False,0,0,,True,False,False,
TFAM,candidate_regulator,11,True,True,Transcription factor,False,False,False,False,0,0,,True,False,False,
